,Word,Frequency,player,language
40,weltmeist,48,exequiel palacios,de
16,spiel,46,exequiel palacios,de
80,adli,39,exequiel palacios,de
64,sagt,29,exequiel palacios,de
48,saint,27,exequiel palacios,de
18,hinspiel,27,exequiel palacios,de
135,wirtz,27,exequiel palacios,de
59,bundesliga,27,exequiel palacios,de
1,trainer,26,exequiel palacios,de
78,elfmet,26,exequiel palacios,de
45,union,25,exequiel palacios,de
71,bayern,22,exequiel palacios,de
92,stieler,21,exequiel palacios,de
49,gillois,21,exequiel palacios,de
17,donnerstag,21,exequiel palacios,de
132,tapsoba,21,exequiel palacios,de
12,amiri,20,exequiel palacios,de
21,gelb,20,exequiel palacios,de
19,europaleagu,20,exequiel palacios,de
122,minuten,20,exequiel palacios,de
176,trainer,43,jeremie frimpong,de
15,wirtz,38,jeremie frimpong,de
149,union,36,jeremie frimpong,de
21,tor,35,jeremie frimpong,de
18,bakker,34,jeremie frimpong,de
16,hlozek,31,jeremie frimpong,de
171,spiel,30,jeremie frimpong,de
25,bayern,30,jeremie frimpong,de
37,bundesliga,29,jeremie frimpong,de
172,ball,28,jeremie frimpong,de
131,hinspiel,26,jeremie frimpong,de
65,sagt,25,jeremie frimpong,de
192,europaleagu,25,jeremie frimpong,de
284,roma,25,jeremie frimpong,de
6,hradecki,25,jeremie frimpong,de
241,traf,24,jeremie frimpong,de
26,kurz,23,jeremie frimpong,de
59,mehr,23,jeremie frimpong,de
52,uber,23,jeremie frimpong,de
140,schluss,22,jeremie frimpong,de
44,union,30,jonathan tah,de
69,wirtz,30,jonathan tah,de
88,sagt,26,jonathan tah,de
47,trainer,25,jonathan tah,de
15,tor,24,jonathan tah,de
10,nationalspiel,23,jonathan tah,de
11,uber,22,jonathan tah,de
84,spiel,21,jonathan tah,de
61,immer,20,jonathan tah,de
133,europaleagu,20,jonathan tah,de
140,saint,20,jonathan tah,de
14,hradecki,20,jonathan tah,de
141,gillois,19,jonathan tah,de
77,wir,19,jonathan tah,de
55,abwehrchef,17,jonathan tah,de
12,ball,17,jonathan tah,de
13,luka,17,jonathan tah,de
89,sieg,16,jonathan tah,de
35,werkself,16,jonathan tah,de
109,traf,16,jonathan tah,de
98,hlozek,57,mitchel bakker,de
76,traf,52,mitchel bakker,de
74,tor,50,mitchel bakker,de
89,wirtz,45,mitchel bakker,de
125,frimpong,44,mitchel bakker,de
2,trainer,43,mitchel bakker,de
107,minuten,34,mitchel bakker,de
28,spiel,32,mitchel bakker,de
245,ball,32,mitchel bakker,de
27,minut,31,mitchel bakker,de
100,union,29,mitchel bakker,de
83,adli,29,mitchel bakker,de
117,adam,28,mitchel bakker,de
109,paus,26,mitchel bakker,de
55,mehr,25,mitchel bakker,de
105,fuhrung,24,mitchel bakker,de
16,kam,23,mitchel bakker,de
