data,player,language,publishedAt
trainer xabi alonso vor den mitgereisten fans in monaco  glucksmoment! exequiel palacios hebt nach seinem tor zum : ab  nach dem euro-highlight geht es in der bundesliga am sonntag (,exequiel palacios,de,2023-02-24T09:33:31Z
"zudem ist die konkurrenzsituation auf der doppelsechs gegen die seit woche voll im saft stehenden exequiel palacios, nadiem amiri, kerem demirbay und robert andrich unter diesen voraussetzungen eine extrem schwierige fur aranguiz",exequiel palacios,de,2023-03-03T21:35:13Z
wie auch exequiel palacios sah der defensive mittelfeldspieler beim :-erfolg im elfmeterschiessen bei der as monaco seine dritte gelbe karte und ist gesperrt,exequiel palacios,de,2023-03-07T11:34:39Z
",,er ist eine option"", erklart alonso, der im mittelfeld auf seine doppel-sechs verzichten muss: robert andrich () und exequiel palacios () sind gesperrt, fur sie stehen kerem demirbay () und nadiem amiri () bereit",exequiel palacios,de,2023-03-08T14:25:18Z
"allerdings waren in robert andrich und dem argentinischen weltmeister exequiel palacios beide eigentlich gesetzten sechser gesperrt, charles aranguiz ist zudem verletzt",exequiel palacios,de,2023-03-09T19:53:46Z
"formstark, aber nicht fur die hollandische a-nationalelf nominiert: leverkusens jeremie frimpong  jeremie frimpong () ragt mit sieben liga-toren und funf vorlagen in dieser fur bayer leverkusen schwierigen saison heraus",exequiel palacios,de,2023-03-09T20:01:53Z
"leverkusen hat verteidiger auf der liste, den der sc langfristig binden mochte  fur bayer ist sildillia in vielerlei hinsicht interessant: zum einen, weil offensivverteidiger jeremie frimpong fur den sommer als heisser wechselkandidat gilt",exequiel palacios,de,2023-03-09T20:18:19Z
"""im grossen und ganzen haben wir ein sehr, sehr gutes spiel gemacht, sehr erwachsen, sehr konzentriert und bis zum ende durchgezogen"", lobte amiri, der mit kerem demirbay im mittelfeldzentrum anstelle der gelbgesperrten robert andrich und exequiel palacios fur die ""gewisse stabilitat und balance"" gesorgt hatte",exequiel palacios,de,2023-03-09T22:03:00Z
"so stehen die stamm-sechser robert andrich und exequiel palacios, die am donnerstag noch gesperrt waren, frisch fur einen einsatz von beginn an zur verfugung",exequiel palacios,de,2023-03-10T17:47:41Z
"arthur gilt in seiner heimat brasilien als grosse zukunftshoffnung  dass leverkusen auf der rechtsverteidiger-position zur neuen saison nachlegen muss, ist klar: denn jeremie frimpong (/vertrag bis ) ist langst einer der international begehrtesten spieler, manchester united ist am niederlander dran",exequiel palacios,de,2023-03-12T11:30:02Z
) feiern adlis treffer zum : fur leverkusen  exequiel palacios: der argentinische weltmeister von katar mit seinem nachsten starken spiel,exequiel palacios,de,2023-03-17T07:01:04Z
der argentinische weltmeister exequiel palacios drehte das spiel mit zwei verwandelten foulelfmetern (,exequiel palacios,de,2023-03-19T18:22:00Z
"leverkusen drehte das spiel durch exequiel palacios, der in der",exequiel palacios,de,2023-03-19T18:28:09Z
"doch der argentinier exequiel palacios, einziger aktueller weltmeister in der bundesliga, drehte das spiel mit zwei foulelfmetern (",exequiel palacios,de,2023-03-19T18:28:23Z
"doch der argentinier exequiel palacios, einziger aktueller weltmeister in der bundesliga, drehte das spiel mit zwei foulelfmetern (",exequiel palacios,de,2023-03-19T18:35:00Z
"doch der argentinier exequiel palacios, einziger aktueller weltmeister in der bundesliga, drehte das spiel mit zwei foulelfmetern (",exequiel palacios,de,2023-03-19T18:38:59Z
neuzugang debutierte jungst in der selecao  damit reagiert der klub bereits auf die moglichen abgange von jeremie frimpong und timothy fosu-mensah am saisonende,exequiel palacios,de,2023-03-19T18:39:29Z
"doch der argentinier exequiel palacios, einziger aktueller weltmeister in der bundesliga, drehte das spiel mit zwei foulelfmetern (",exequiel palacios,de,2023-03-19T19:02:39Z
