data,player,language,publishedAt
trainer alonso mitgereisten fans monaco glucksmoment hebt tor euro highlight geht bundesliga sonntag uhr freiburg weiter,exequiel palacios,de,2023-02-24T09:33:31Z
sechser droht viereinhalb monaten pause bitterer abschied bayerleverkusen dafur erscheint verletzungspause lang zudem konkurrenzsituation doppelsechs seit woche voll saft stehenden amiri demirbay andrich voraussetzungen extrem schwierige fur aranguiz zuletzt aufgrund personellen engpasse innenverteidigung zentral abwehrkette eingesetzte andrich kunftig mittelfeld auflaufen durfte alonso vorrucken jahrigen sechs sonntag hertha bsc nicht sicher einstufen mochte,exequiel palacios,de,2023-03-03T21:35:13Z
bayerleverkusen sechser erklart budapest spiel jungsten fortschritt bayerleverkusen donnerstag achtelfinal hinspiel europaleague ferencvaros budapest empfangt andrich fehlen sah defensive mittelfeldspieler erfolg elfmeterschiessen monaco dritte gelbe karte gesperrt massive schwachung fur werkself doppelsechs andrich zuletzt erfolgsfaktor andrich ausgerechnet kurzen phase saison bayerleverkusen gleichzeitig spielerisch uberzeugt erfolgreichen fussball spielt zwangspause einlegen muss wurmt bedingt das argerlich irgendwann ware sperre wahrscheinlich gekommen daher lieber jetzt eventuell viertel halbfinale keine sorgen erklart jahrige lacheln,exequiel palacios,de,2023-03-07T11:34:39Z
bakker mittwoch abschluss training bayerleverkusen nicht ausgeschlossen jedoch bakker ungarn startelf steht option erklart alonso mittelfeld doppel sechs verzichten muss andrich gesperrt fur stehen demirbay amiri bereit frimpong budapest einsatzbereit hertha wegen muskularer probleme bereits minuten platz verlassen mussen gut trainiert fuhlt besser dabei erklart alonso grossen respekt ungarn hat das sehr guter gegner sehe niveau monaco,exequiel palacios,de,2023-03-08T14:25:18Z
aktuelle nachrichten politik wirtschaft sport kultur allerdings andrich argentinischen weltmeister beide eigentlich gesetzten sechser gesperrt charles aranguiz zudem verletzt donnerstag machten sache zumindest ordentlich mehr thema,exequiel palacios,de,2023-03-09T19:53:46Z
spaten tor joker sven michel union berlin mitreissenden achtelfinal hinspiel europaleague unentschieden gerettet chancen weiterkommen deutlich verbessert berliner taten royale union saint gilloise heimischen stadion alten forsterei erneut schwer kamen zuschauern schossen victor boniface minute yorbe vertessen gaste dreimal fuhrung josip juranovic robin knoche michel erzielten jeweiligen ausgleichstore fussball bundesligisten comeback qualitaten bewies,exequiel palacios,de,2023-03-09T20:01:53Z
gut sein fehlentscheidung sascha stegemann borussia dortmund meisterschaft kostet entscheidenden momente gab bundesliga historie mehrfach sportschau blickt zuruck,exequiel palacios,de,2023-03-09T20:18:19Z
spielen nicht mit gucken weit geht auf platz gefuhl spiel gut kontrollieren sagte amiri rtl durchhanger zweiten halfte als bisschen gefahrlich geworden sind brachte bayerleverkusen diesmal nicht wanken grossen ganzen sehr gutes spiel gemacht erwachsen konzentriert durchgezogen lobte amiri demirbay mittelfeldzentrum anstelle gelbgesperrten andrich fur gewisse stabilitat balance gesorgt hatte gerade erwachsene spielweise brauche auch denn man weiss uns vogelwild wird geht her tut nicht gut anfallig fur gegentore,exequiel palacios,de,2023-03-09T22:03:00Z
bayerleverkusen trainer stellt nahende wiedersehen klub bayern munchen rotationsproblem fur erste spiel bremen gestaltet zumindest einfacher februar hinspiel monaco niederlage mainz startelf funf positionen anderte stehen stamm sechser andrich donnerstag gesperrt waren frisch fur einsatz beginn verfugung disziplinproblemen hertha bsc nicht berucksichtigte budapest nicht eingesetzte bakker links anfangsformation rutschen konnte mittelsturmer patrik schick sieht trainer braucht vielleicht mehr zeit hingegen offenbar nicht bereit fur erste elf adam hlozek adli bieten zwei alternativen fur dreieroffensive,exequiel palacios,de,2023-03-10T17:47:41Z
heisse begegnung bremen trotz fruhen fuhrungstreffers marvin duksch gibt werder bundesliga spiel bayerleverkusen hand niclas fullkrug verkurzt kurz schluss per elfmeter tor kommt spat spiel nachlesen,exequiel palacios,de,2023-03-12T11:30:02Z
torschutzen sich diaby adli feiern adlis treffer fur bayerleverkusen argentinische weltmeister katar nachsten starken spiel standig ball hinkam note bakker minute grossen torchancen niederlander liess nichts anbrennen flanken fehlte bisweilen prazision note,exequiel palacios,de,2023-03-17T07:01:04Z
munchner gehen verfolger liga gipfel borussia dortmund joshua kimmich brachte munchner fuhrung argentinische weltmeister drehte spiel zwei verwandelten foulelfmetern schiedsrichter tobias stieler gefoulten adli wegen vermeintlicher schwalben jeweils zunachst gelb gegeben beide male nahm karte videostudium zuruck bayerleverkusen dicht europacup platzen dran zuvor union berlin duell woche internationalen geschaft gescheiterten mannschaften anspruch champions league platze untermauert oberosterreicher oliver glasner trainierte frankfurter eintracht kletterten berliner nunmehr punkten dritten platz distanzierten sechsten platz liegenden hessen zahlern halten,exequiel palacios,de,2023-03-19T18:22:00Z
bayern nicht mehr tabellenfuhrer fussball bundesliga bayerleverkusen liegt schiedsrichter tobias stieler zweimal komplett daneben zweimal videoassistenten korrigiert zweimal jubelt bayerleverkusen kurz darauf fur munchner dritte pleite saison bayerleverkusen drehte spiel minute foulelfmeter verwandelte schiedsrichter tobias stieler benotigte beiden strafstossen kraftige unterstutzung video assistenten stieler gab beiden fallen adli zunachst gelb wegen vermeintlichen schwalbe nahm karten jeweils zuruck gravierende fehleinschatzungen bayerleverkusen var korrektur wohl sieg gebracht hatten bayerleverkusen begann stark schwungvoll fcb keeper yann sommer aufmerksam direkt aufs tor gezogenen ecke demirbay parierte frimpong unmittelbar davor verfehlte diaby distanz knapp besser geht zeigten bayern flanke joao cancelo legte leon goretzka kimmich elf metern muhelos verwandelte gegentreffer nahm bayerleverkusen schwung uberzeugung anfangsphase beide teams neutralisierten weitgehend,exequiel palacios,de,2023-03-19T18:28:09Z
