data,player,language,publishedAt
trainer alonso mitgereisten fans monaco glucksmoment hebt tor,exequiel palacios,de,2023-02-24T09:33:31Z
sechser droht viereinhalb monaten pause bitterer abschied bayerleverkusen dafur erscheint verletzungspause lang zudem konkurrenzsituation doppelsechs seit woche voll saft stehenden amiri demirbay andrich voraussetzungen extrem schwierige aranguiz,exequiel palacios,de,2023-03-03T21:35:13Z
bayerleverkusen sechser erklart budapest spiel jungsten fortschritt bayerleverkusen donnerstag achtelfinal hinspiel europaleague ferencvaros budapest empfangt andrich fehlen sah defensive mittelfeldspieler erfolg elfmeterschiessen monaco dritte gelbe karte gesperrt massive schwachung werkself doppelsechs andrich zuletzt erfolgsfaktor,exequiel palacios,de,2023-03-07T11:34:39Z
bakker mittwoch abschluss training bayerleverkusen nicht ausgeschlossen jedoch bakker ungarn startelf steht option erklart alonso mittelfeld doppel sechs verzichten muss andrich gesperrt stehen demirbay amiri bereit,exequiel palacios,de,2023-03-08T14:25:18Z
allerdings andrich argentinischen weltmeister beide eigentlich gesetzten sechser gesperrt charles aranguiz zudem verletzt donnerstag machten sache zumindest ordentlich,exequiel palacios,de,2023-03-09T19:53:46Z
spaten tor joker sven michel union berlin mitreissenden achtelfinal hinspiel europaleague unentschieden gerettet chancen weiterkommen deutlich verbessert berliner taten royale union saint gilloise heimischen stadion alten forsterei erneut schwer kamen zuschauern schossen victor boniface minute yorbe vertessen gaste dreimal fuhrung josip juranovic robin knoche michel erzielten jeweiligen ausgleichstore fussball bundesligisten comeback qualitaten bewies,exequiel palacios,de,2023-03-09T20:01:53Z
gut sein fehlentscheidung sascha stegemann borussia dortmund meisterschaft kostet entscheidenden momente gab bundesliga historie mehrfach sportschau blickt zuruck,exequiel palacios,de,2023-03-09T20:18:19Z
spielen nicht mit gucken weit geht auf platz gefuhl spiel gut kontrollieren sagte amiri rtl durchhanger zweiten halfte als bisschen gefahrlich geworden sind brachte bayerleverkusen diesmal nicht wanken grossen ganzen sehr gutes spiel gemacht erwachsen konzentriert durchgezogen lobte amiri demirbay mittelfeldzentrum anstelle gelbgesperrten andrich gewisse stabilitat balance gesorgt hatte,exequiel palacios,de,2023-03-09T22:03:00Z
bayerleverkusen trainer stellt nahende wiedersehen klub bayern munchen rotationsproblem erste spiel bremen gestaltet zumindest einfacher februar hinspiel monaco niederlage mainz startelf funf positionen anderte stehen stamm sechser andrich donnerstag gesperrt waren frisch einsatz beginn verfugung disziplinproblemen hertha bsc nicht berucksichtigte budapest nicht eingesetzte bakker links anfangsformation rutschen konnte,exequiel palacios,de,2023-03-10T17:47:41Z
heisse begegnung bremen trotz fruhen fuhrungstreffers marvin duksch gibt werder bundesliga spiel bayerleverkusen hand niclas fullkrug verkurzt kurz schluss per elfmeter tor kommt spat spiel nachlesen,exequiel palacios,de,2023-03-12T11:30:02Z
