data,player,language,publishedAt
ten if you included the toe-poked volley to team-mate palacios in the build-up,palacios,en,2023-02-16T23:56:00Z
"bayerleverkusen took the lead again in the st minute, when midfielder palacios struck from the edge of the box following a corner and adli made it - before the hour mark with a fine header",palacios,en,2023-02-23T20:50:50Z
"wissam ben yedder levelled straight away from the spot for monaco, before palacios put bayerleverkusen back ahead",palacios,en,2023-02-23T20:53:59Z
"midfielders: leandro paredes (juventus), angel di maria (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximiliano perrone (manchester city), palacios (bayerleverkusen), rodrigo de paul (atletico madrid), angel correa (atletico madrid), alexis mac allister (brighton), facundo buonanotte (brighton), thiago almada (atlanta united), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter milan)",palacios,en,2023-03-03T16:40:46Z
"midfielders: leandro paredes (juventus), angel di maria (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximiliano perrone (manchester city), palacios (bayerleverkusen), rodrigo de paul (atletico madrid), angel correa (atletico madrid), alexis mac allister (brighton), facundo buonanotte (brighton), thiago almada (atlanta united), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter milan)",palacios,en,2023-03-03T16:42:19Z
"midfielders: rodrigo de paul (atletico madrid), leandro paredes (juventus), guido rodriguez (real betis), alejandro gomez (sevilla), alexis mac allister (brighton), palacios (bayerleverkusen), enzo fernandez (chelsea), maximo perrone (manchester city), facundo buonanotte (brighton), giovani lo celso (villarreal), thiago almada (atlanta united), valentin carboni (inter milan)",palacios,en,2023-03-03T18:17:37Z
"a first half goal from joshua kimmich was canceled out by two penalties from palacios, resulting in a - win for the home team",palacios,en,2023-03-19T18:30:00Z
" ""by reuters bayerleverkusen's palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead",palacios,en,2023-03-19T18:42:59Z
bayerleverkusen\'s palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead,palacios,en,2023-03-19T19:05:09Z
"by tamojit chakraborty march , palacios scored twice from the penalty spot in the second half as bayerleverkusen came back from behind to beat bayern munich - at the bay arena on sunday evening",palacios,en,2023-03-19T19:45:15Z
" "" palacios scored two penalties as bayerleverkusen beat bayern munich who missed the chance to return to the top of the bundesliga",palacios,en,2023-03-19T20:03:28Z
bayern munich missed the chance to move back to the top of the bundesliga after two second-half penalties from palacios saw them sink to a - defeat at bayerleverkusen,palacios,en,2023-03-19T22:29:07Z
bayern munich missed the chance to move back to the top of the bundesliga after two second-half penalties from palacios saw them sink to a - defeat at bayerleverkusen,palacios,en,2023-03-19T22:50:22Z
"up stepped palacios to beat bayern keeper yann sommer on both occasions, and bayerleverkusen -- led by the super-stylish alonso -- could then celebrate a famous win",palacios,en,2023-03-20T01:35:10Z
,palacios,en,2023-03-20T04:16:31Z
"rennes, instead, made the most of their chances.on the stroke of halftime, toko ekambi collected a superb long pass from benjamin bourigeaud and fired home from just inside the box, making up for a couple of earlier bad choices.rennes doubled their advantage with their second shot on target, three minutes into the second half, as kalimuendo latched on to a cross from lesley ugochukwu to beat gianluigi donnarumma.forward hugo ekitike replaced midfielder fabian ruiz while midfielder renato sanches came on for defender juan bernat before the hour, but it was rennes who came closest to scoring again through toko ekambi.later on sunday, alexis sanchez netted a double to give om all three points at reims, who had gone unbeaten in ligue for six months.reims, who had opened the scoring through folarin balogun, are ninth on points.bayerleverkusen stun bayern munich bayerleverkusen\'s palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead",palacios,en,2023-03-20T04:56:02Z
"although bayern took the lead through joshua kimmich on the day, two second-half penalties from palacios condemned them to defeat at bayarena",palacios,en,2023-03-20T08:45:35Z
