data,player,language,publishedAt
"football florian wirtz\'s goal for bayer leverkusen in the europa league represents the next step on the road to recovery for the german teenager; adam bate was in the bayarena to see it and discuss the player\'s vast potential with sporting director simon rolfes @ghostgoal it was the moment that florian wirtz had been waiting for, the moment that the bayarena had been waiting for, and when it came it was special. the first goal for bayer leverkusen's wunderkind since his long-term knee injury lit up their game against monaco. wirtz touched the ball nine times in scoring it. ten if you included the toe-poked volley to team-mate exequiel palacios in the build-up. but those nine touches - the ball never moving more than a metre from his boot until the finish - showed why he is so special. that quick shift of the ball from one foot to the other had been seen minutes earlier when his previous dribble had been the catalyst for moussa diaby\'s equaliser. there is a calmness to his game, an ability to glide without breaking stride, that only the best possess. it felt cruel on wirtz that it was not the winner. two late goals for monaco made it a - win for them in the first leg of this europa league play-off round. a blow to supporters, but for the wider game, the latest step on wirtz\'s journey back is the bigger story. speaking to leverkusen sporting director simon rolfes in the offices at the stadium, it is put to him that perhaps english audiences do not know too much about wirtz\'s wonderful talent just yet. he laughs. ""you will do,"" rolfes tells sky sports. you sense he is right. at , wirtz is the great hope of german football. the excitement about his return to fitness extends far beyond his own club - a point illustrated by the wide smile on the face of national team coach hansi flick, celebrating alongside rudi voller in the stands. badly missed at the world cup, most expect him to be the poster boy for euro . but an anterior cruciate ligament injury is the sort of setback that stifles careers, even for one precocious enough to make his bundesliga debut weeks after turning . transfer centre live! bundesliga table football features download the sky sports app he adapted quickly, scoring against bayern munich in only his fourth appearance and making his international debut the following year. the world was his. ten months out was a test, therefore, both physically and emotionally. how would he handle that challenge? ""really well,"" insists rolfes. ""from the mental side, he is incredible. how he works, how ambitious he is, how stable he is emotionally. everyone sees the technical side, the fantastic passes, the dribbling, whatever. but this side of him is amazing. he is just so focused."" the result is that he has returned to the team without missing a beat. there was an assist in his first start against bochum last month and another in a man-of-the-match performance against hoffenheim in completing his first full minutes at the weekend. it is not just that he is back but back to his best. that pace to run away from players is there. his low centre of gravity allows him to hold off markers untroubled. there is no indication that the injury has lowered his ceiling. it delayed him rather than slowed him down. the mental strength is evident in his play. the most skilful player on the pitch is among the hardest working, encouraging others to join him in the pressing. ""already at this young age, he is a leader of this team, inspiring the other players with his behaviour."" at times, he seemed to playing as a no just off adam hlozek, though there was flexibility there with the shape shifting from -- to -- in and out of possession. whatever the system, wirtz was the one who looked most comfortable in tight spaces. it is all there in his game, the one-touch lay-offs, the awareness to flick balls around the corner. ""he is an excellent player but also an excellent team player. he makes the other players better around him. the top players have this ability,"" explains rolfes. ""one thing i already mentioned is the mental side, but also from a technical side, he finds the spaces to score, to give assists, to accelerate the game. in those positions, he can find solutions."" wirtz is the answer for leverkusen. ""the key player for us."" the question is just how good he could become. ""the potential is huge."" that is for another day. for now, let us simply celebrate the return of this special talent. ""it is really great to see that he is back."" another saturday, another chance to win PS, with super . play for free, entries by pm. (c) sky uk'}",exequiel palacios,en,2023-02-16T23:56:00Z
"monaco, feb (reuters) - bayer leverkusen beat as monaco - on penalties after winning a frantic second leg of their europa league playoff - on thursday to send the game into extra time with the teams locked at - on aggregate. monaco midfielder eliot matazo hit the bar in the second round of spot-kicks and winger moussa diaby sealed victory for the german side and sent them through to the last . monaco striker wissam ben yedder equalised six minutes later from the spot, after the hosts earned a penalty for edmond tapsoba\'s foul on monaco midfielder eliesse ben seghir. leverkusen took the lead again in the st minute, when midfielder exequiel palacios struck from the edge of the box following a corner and amine adli made it - before the hour mark with a fine header. monaco, however, levelled the tie once more through breel embolo\'s header neither team were able to score in extra time but leverkusen held their nerve in the shootout to win a two-legged knockout tie in a major european competition for the first time after losing the first leg at home. our standards: the thomson reuters trust principles. when actor adjoa andoh read william shakespeare\'s ""richard iii"" as a child, she was struck by how he was treated. reuters, the news and media division of thomson reuters, is the world's largest multimedia news provider, reaching billions of people worldwide every day. reuters provides business, financial, national and international news to professionals via desktop terminals, the world\'s media organizations, industry events and directly to consumers. build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. the most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. the industry leader for online information for tax, accounting and finance professionals. access unmatched financial data, news and content in a highly-customised workflow experience on desktop, web and mobile. browse an unrivalled portfolio of real-time and historical market data and insights from worldwide sources and experts. screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. all quotes delayed a minimum of minutes. see here for a complete list of exchanges and delays.",exequiel palacios,en,2023-02-23T20:50:50Z
" it was a goal-heavy thursday in the competition with goals scored across the eight ties. shakhtar donetsk continued their miraculous season as they overcame rennes in the most dramatic fashion, beating them - on penalties. having led - from last week's first leg in warsaw, a karl toko ekambi strike gave the french side a - lead early on in the second half. there were no more goals in the rest of normal time and the game headed into extra time with the score - on aggregate. shakhtar donetsk reached the europa league last- in miraculous fashion against rennes keeper anatolii trubin made three spectacular saves in the shootout to send them through bayer leverkusen also reached the last- after beating as monaco - on penalties ibrahim salah looked to have won it for rennes in the th minute as he put them - up on the night, but a disastrous own goal at the death from -year-old jeanuel belocian took the tie to penalties after he sliced a routine clearance into his own net. and the ukrainians were victorious with goalkeeper anatolii trubin making three spectacular saves in the shootout to send them through. elsewhere, leverkusen picked up a dramatic - victory over as monaco on penalties after an enthralling tie. monaco headed into the game with a - lead following last week's first leg, but their advantage was pegged back almost immediately as wonderkid florian wirtz opened the scoring. wissam ben yedder levelled straight away from the spot for monaco, before exequiel palacios put leverkusen back ahead. extra time was less eventful, and then the germans emerged victorious - on penalties after they scored all five of their spot kicks and eliot matazo was guilty of missing one for the principality side. breel embolo scored late on to take the tie to extra time with the score at - on aggregate ajax crashed out after losing - on the night to the bundesliga's surprise outfit union berlin fellow bundesliga outfit union berlin - who remarkably are joint top of the german top flight along with bayern munich and borussia dortmund - continued their fairytale season as they beat ajax -. they saw out the rest of the game, before edson alvarez picked up a red card in stoppage time. sporting lisbon - who were narrowly pipped by tottenham and eintracht frankfurt in qualifying for the champions league knockout stages - romped home against danish outfit midtjylland. a brace from pedro goncalves, along with a sebastian coates finish and a disastrous own goal from stefan gartenmann gave ruben amorin's side a - win on the night and an overall - aggregate victory. despite a spirited comeback from psv against sevilla, the spanish side held on after winning the first leg - last week and progressed to the last-. luuk de jong had opened the scoring against his former team in the th minute to give jorge sampaoli's side a scare but the dutch outfit couldn't complete the turnaround. although an injury time goal from wolves loanee fabio silva gave them a - victory on the night. juventus saw past nantes by four goals-to-one over the two legs and in italy, roma overturned a first leg deficit to win - on aggregate. luuk de jong almost inspired a psv comeback but they went down - to sevilla on aggregate",exequiel palacios,en,2023-02-23T20:53:59Z
" argentina coach lionel scaloni on friday announced a -man squad which included lionel messi, angel di maria and the other members of argentina's winning squad in qatar. manchester united forward alejandro garnacho is rewarded for impressing at manchester united with his first callup. the -year-old scaloni earlier this week extended his contract to the end of the world cup. ___ squad: goalkeepers: emiliano martinez (aston villa), franco armani (river plate), geronimo rulli (ajax). defenders: juan foyth (villarreal), gonzalo montiel (sevilla), marcos acuna (sevilla), nahuel molina (atletico madrid), nehuen perez (udinese), german pezzella (betis), cristian romero (tottenham), nicolas otamendi (benfica), lisandro martinez (manchester united), nicolas tagliafico (lyon), lautaro blanco (elche). midfielders: leandro paredes (juventus), angel di maria (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximiliano perrone (manchester city), exequiel palacios (bayer leverkusen), rodrigo de paul (atletico madrid), angel correa (atletico madrid), alexis mac allister (brighton), facundo buonanotte (brighton), thiago almada (atlanta united), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter milan). ___ more ap soccer: and ",exequiel palacios,en,2023-03-03T16:40:46Z
"the star edition change location this copy is for your personal non-commercial use only. to order presentation-ready copies of toronto star content for distribution to colleagues, clients or customers, or inquire about permissions/licensing, please go to: www.torontostarreprints.com argentina coach lionel scaloni on friday announced a -man squad which included lionel messi, angel di maria and the other members of argentina's winning squad in qatar. manchester united forward alejandro garnacho is rewarded for impressing at manchester united with his first callup. the -year-old scaloni earlier this week extended his contract to the end of the world cup. ___ squad: goalkeepers: emiliano martinez (aston villa), franco armani (river plate), geronimo rulli (ajax). defenders: juan foyth (villarreal), gonzalo montiel (sevilla), marcos acuna (sevilla), nahuel molina (atletico madrid), nehuen perez (udinese), german pezzella (betis), cristian romero (tottenham), nicolas otamendi (benfica), lisandro martinez (manchester united), nicolas tagliafico (lyon), lautaro blanco (elche). midfielders: leandro paredes (juventus), angel di maria (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximiliano perrone (manchester city), exequiel palacios (bayer leverkusen), rodrigo de paul (atletico madrid), angel correa (atletico madrid), alexis mac allister (brighton), facundo buonanotte (brighton), thiago almada (atlanta united), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter milan). ___ more ap soccer: and anyone can read conversations, but to contribute, you should be a registered torstar account holder. if you do not yet have a torstar account, you can create one now (it is free) register rights reserved. republication or distribution of this content is expressly prohibited without the prior written consent of toronto star newspapers limited and/or its licensors. to order copies of toronto star articles, please go to: www.torontostarreprints.com'}",exequiel palacios,en,2023-03-03T16:42:19Z
"argentina coach lionel scaloni announced a -man squad on friday which included lionel messi, angel di maria and the other members of argentina's winning squad in qatar. manchester united forward alejandro garnacho is rewarded for impressing at old trafford with his first-ever callup. the -year-old, in his breakthrough season with erik ten hag's side, has contributed five goals and six assists in matches this campaign. scaloni, , earlier this week extended his contract until the end of the world cup. squad: goalkeepers: emiliano martinez (aston villa), franco armani (river plate), geronimo rulli (ajax) defenders: nahuel molina (atletico madrid), cristian romero (tottenham), nicolas otamendi (benfica), nicolas tagliafico (lyon), gonzalo montiel (sevilla,), german pezzella (real betis), lisandro martinez (manchester united), marcos acuna (sevilla), juan foyth (villarreal), lautaro blanco (elche), nehuen perez (udinese). midfielders: rodrigo de paul (atletico madrid), leandro paredes (juventus), guido rodriguez (real betis), alejandro gomez (sevilla), alexis mac allister (brighton), exequiel palacios (bayer leverkusen), enzo fernandez (chelsea), maximo perrone (manchester city), facundo buonanotte (brighton), giovani lo celso (villarreal), thiago almada (atlanta united), valentin carboni (inter milan). forwards: lionel messi (psg), lautaro martinez (inter milan), angel di maria (juventus), alejandro garnacho (manchester united), angel correa (atletico madrid), nicolas gonzalez (fiorentina), julian alvarez (manchester city), paulo dybala (roma), emiliano buendia (aston villa).""}",exequiel palacios,en,2023-03-03T18:17:37Z
"bayer leverkusen became the third side to beat bayern munich in the bundesliga this season, as the champions slumped to a - loss. both goals were penalties given by the var and borussia dortmund await for bayern. but the showing from the perennial bundesliga champions in leverkusen's bayarena was, instead, a step in the wrong direction. a first half goal from joshua kimmich was canceled out by two penalties from exequiel palacios, resulting in a - win for the home team. the performance was emblematic of an inconsistent bundesliga campaign, and with the klassiker against dortmund after the upcoming international break, bayern are under pressure again to return to form. ""it's very frustrating,"" kimmich told reporters after the game. ""we can all read the table. we all saw our performance today. we need to show that we have interest in all competitions."" leverkusen outshot their guests eight to one in the first half. but that one shot, a powerful but deflected joshua kimmich effort from the top of the penalty area, saw the visiting side - up at halftime. ""that is not what bayern munich stands for,"" hasan salihamidzic, bayern's head of sport, told reporters after the game. ""we allowed a team that played on thursday to overrun us."" the loss in leverkusen came after a wild - victory against augsburg and a harder-than-expected - win against stuttgart -- sides that should be easy wins for perennial bundesliga winners. when asked by dw about bayern's inconsistent league form, kimmich gave a simple answer, blaming his side's mentality going into bundesliga matches. salihamidzic agreed: ""this team is so good when it has a good mentality and play % from kickoff. but we are just as bad when we play like we did today."" recent performances in the champions league would suggest that a win against dortmund is more than possible. that will only come if, like their opponents today, they turn up for the game. edited by: matt pearson'}",exequiel palacios,en,2023-03-19T18:30:00Z
" ""by reuters bayer leverkusen's exequiel palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead. bayern were nowhere to be seen at the start with the hosts unleashing a flurry of shots towards yann sommer's goal in the opening minutes. they did, however, score against the run of play and with their first shot of the game when joshua kimmich's effort was deflected in after minutes. things, however, took a turn for the worse for bayern after the break with sloppy defending earning the hosts two penalties. palacios draw them level with a well-taken th minute spot kick and then earned another, this time for a foul by dayot upamecano. joshua kimmich had put bayern munich ahead in the first half with a deflected effort the defeat saw bayern munich miss the chance to return to the top of the bundesliga they hung on to victory despite late pressure from the bavarians and chances from kinglsey coman and matthijs de ligt. leverkusen climbed up to eighth on . scorer: kimmach '",exequiel palacios,en,2023-03-19T18:42:59Z
"bayer leverkusen\'s exequiel palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead. bayern were nowhere to be seen at the start with the hosts unleashing a flurry of shots towards yann sommer\'s goal in the opening minutes. - stream on espn+: laliga, bundesliga, more (u.s.) ""we did not deserve the first-half lead. we did not have the activity we had with the ball in the past weeks,"" said nagelsmann. ""the penalties were correct. it all took too long for us today and we deserved to lose because were the worse team."" bayern did, however, score against the run of play and with their first shot of the game when joshua kimmich\'s effort was deflected in after minutes. things, however, took a turn for the worse for bayern after the break with sloppy defending earning the hosts two penalties. palacios draw them level with a well-taken th minute spot kick and then earned another, this time for a foul by dayot upamecano. they hung on to victory despite late pressure from the bavarians and chances from kinglsey coman and matthijs de ligt. leverkusen climbed up to eighth on . ""it is clear against dortmund we have to win, to firstly take over the lead and then hopefully bring the title to bayern,"" nagelsmann said. ""if we don\'t win it or lose then with the form that dortmund currently have it will be difficult."" min deposit requirement. free bets are paid as bet credits and are available for use upon settlement of bets to value of qualifying deposit. min odds, bet and payment method exclusions apply. returns exclude bet credits stake. time limits and t&cs apply. more details sunday\'s bundesliga slate features borussia dortmund hosting vfl wolfsburg at : am et. bayern munich control their destiny as they seek an th straight title, but after numerous missteps, the meisterschale looks far from a sure thing. in bundesliga play on saturday, union berlin will be visiting fc augsburg at : am et. in bundesliga play on saturday, tsg hoffenheim will be hosting eintracht frankfurt at : am et. borussia monchengladbach hosts vfl bochum in bundesliga play on saturday at : am et.'}",exequiel palacios,en,2023-03-19T19:05:09Z
"exequiel palacios scored twice from the penalty spot in the second half as bayer leverkusen came back from behind to beat bayern munich - at the bay arena on sunday evening. the result is a huge blow to the reigning champions, now second to borussia dortmund in the standings with nine games left. bayern, however, took the lead in the nd minute when joshua kimmich finished with aplomb from inside the box following joao cancel's cross from the right wing. leon goretzka brought down the ball before laying off to kimmich, who slotted home much against the run of play to give bayern the getaway goal. leverkusen didn't let their heads drop despite the setback as they played with great determination, making it tough for bayern to grab a hold of the game. julian nagelsmann brought on kingsley coman, jamal musiala, and serge gnabry to improve his side in the second half. however, it was leverkusen who carved the better chances of the half. minutes after the restart, french winger amine adli was brought down in the box with the referee booking the player for simulation. however, var intervened, showing it was a clear foul, and the referee reversed his decision to award a spot kick to the hosts. palacios stepped up to send yann sommer the wrong way to retore parity, one that was well deserved for the home side. interestingly, minutes later, adli was again brought down inside the penalty area and again booked for simulation. just like before, var intervened, and the referee gave a penalty. palacios stepped up again and converted for the second time to give his side a - lead. bayern threw numbers late on, but lukas hradecky made a string of great saves to deny gnabry, leroy sane, and alphonso davies as leverkusen held on for a famous win. the result means that dortmund top the standings with points from games, a point ahead of bayern going into the international break. it will be interesting to see if dortmund can secure the title from bayern, who have won the bundesliga for ten consecutive seasons. includes: premier league + sports channels includes: bundesliga & la liga includes: champions league & serie a includes: premier league includes: every mls game and leagues cup world soccer talk (c) . made in florida. world soccer talk is reader-supported and may earn a commission through our partner links.'}",exequiel palacios,en,2023-03-19T19:45:15Z
