data,player,language,publishedAt
"football florian wirtz\'s goal bayer leverkusen europa league represents step road recovery german teenager; adam bate bayarena discuss player\'s vast potential sporting director simon rolfes @ghostgoal friday february :, uk moment florian wirtz waiting for, moment bayarena waiting for, came special. goal bayer leverkusen's wunderkind long-term knee injury lit game monaco. wirtz touched ball times scoring it. included toe-poked volley team-mate exequiel palacios build-up. touches - ball never moving metre boot finish - showed special. quick shift ball foot seen minutes earlier previous dribble catalyst moussa diaby\'s equaliser. calmness game, ability glide breaking stride, best possess. felt cruel wirtz winner. late goals monaco - win leg europa league play-off round. blow supporters, wider game, latest step wirtz\'s journey bigger story. speaking leverkusen sporting director simon rolfes offices stadium, english audiences know wirtz\'s wonderful talent yet. laughs. ""you do,"" rolfes tells sky sports. sense right. , wirtz great hope german football. excitement return fitness extends far club - point illustrated wide smile face national team coach hansi flick, celebrating alongside rudi voller stands. badly missed world cup, expect poster boy euro . anterior cruciate ligament injury sort setback stifles careers, precocious bundesliga debut weeks turning . transfer centre live! bundesliga table football features download sky sports app adapted quickly, scoring bayern munich fourth appearance making international debut following year. world his. months test, therefore, physically emotionally. handle challenge? ""really well,"" insists rolfes. ""from mental side, incredible. works, ambitious is, stable emotionally. sees technical side, fantastic passes, dribbling, whatever. amazing. focused."" result returned team missing beat. assist start bochum month man-of-the-match performance hoffenheim completing minutes weekend. best. pace run away players there. low centre gravity allows hold markers untroubled. no indication injury lowered ceiling. delayed slowed down. mental strength evident play. skilful player pitch hardest working, encouraging join pressing. ""already young age, leader team, inspiring players behaviour."" times, playing no adam hlozek, flexibility shape shifting -- -- possession. system, wirtz looked comfortable tight spaces. absence, leverkusen sacked head coach gerardo seoane october, bringing xabi alonso. spain international good wirtz. club happiest playing counter-attack thrive passing team. game, one-touch lay-offs, awareness flick balls corner. ""he excellent player excellent team player. makes players better him. top players ability,"" explains rolfes. ""one thing mentioned mental side, technical side, finds spaces score, assists, accelerate game. positions, solutions."" wirtz answer leverkusen. ""the key player us."" question good become. ""the potential huge."" day. now, let simply celebrate return special talent. ""it great back."" watch bayer leverkusen vs mainz live sky sports football sunday; kick-off .pm saturday, chance win PS, super . play free, entries pm. (c) sky uk'}",exequiel palacios,en,2023-02-16T23:56:00Z
"[/]\xasoccer football - europa league - play-off second leg - monaco v bayer leverkusen - stade louis ii, monaco, france - february , bayer leverkusen players celebrate winning penalty shoot-out reuters/eric gaillard monaco, feb (reuters) - bayer leverkusen beat monaco - penalties winning frantic second leg europa league playoff - thursday send game extra time teams locked - aggregate. monaco midfielder eliot matazo hit bar second round spot-kicks winger moussa diaby sealed victory german sent . leverkusen, lost - home leg week, levelled tie th minute midfielder florian wirtz mistake monaco keeper alexander nuebel. monaco striker wissam ben yedder equalised minutes later spot, hosts earned penalty edmond tapsoba\'s foul monaco midfielder eliesse ben seghir. leverkusen took lead st minute, midfielder exequiel palacios struck edge box following corner amine adli - hour mark fine header. monaco, however, levelled tie breel embolo\'s header neither team able score extra time leverkusen held nerve shootout win two-legged knockout tie major european competition time losing leg home. standards: thomson reuters trust principles. actor adjoa andoh read william shakespeare\'s ""richard iii"" child, struck treated. reuters, news media division thomson reuters, world's largest multimedia news provider, reaching billions people worldwide day. reuters provides business, financial, national international news professionals desktop terminals, world\'s media organizations, industry events directly consumers. build strongest argument relying authoritative content, attorney-editor expertise, industry defining technology. comprehensive solution manage complex ever-expanding tax compliance needs. industry leader online information tax, accounting finance professionals. access unmatched financial data, news content highly-customised workflow experience desktop, web mobile. browse unrivalled portfolio real-time historical market data insights worldwide sources experts. screen heightened risk individual entities globally help uncover hidden risks business relationships human networks. quotes delayed minimum minutes. complete list exchanges delays.",exequiel palacios,en,2023-02-23T20:50:50Z
"bayer leverkusen, shakhtar donetsk, union berlin, sevilla sporting lisbon joined juventus,manchester united\xaand roma\xain reaching europa league last-. goal-heavy thursday competition goals scored ties. shakhtar donetsk continued miraculous season overcame rennes dramatic fashion, beating - penalties. having led - week's leg warsaw, karl toko ekambi strike gave french - lead early second half. no goals rest normal time game headed extra time score - aggregate. shakhtar donetsk reached europa league last- miraculous fashion rennes keeper anatolii trubin spectacular saves shootout send bayer leverkusen reached last- beating monaco - penalties ibrahim salah looked won rennes th minute - night, disastrous goal death -year-old jeanuel belocian took tie penalties sliced routine clearance net. ukrainians victorious goalkeeper anatolii trubin making spectacular saves shootout send through. elsewhere, leverkusen picked dramatic - victory monaco penalties enthralling tie. monaco headed game - lead following week's leg, advantage pegged immediately wonderkid florian wirtz opened scoring. wissam ben yedder levelled straight away spot monaco, exequiel palacios leverkusen ahead. amine adli scored xabi alonso's raced - lead aggregate breel embolo brought tie level th minute. extra time eventful, germans emerged victorious - penalties scored spot kicks eliot matazo guilty missing principality side. breel embolo scored late tie extra time score - aggregate ajax crashed losing - night bundesliga's surprise outfit union berlin fellow bundesliga outfit union berlin - remarkably joint top german top flight bayern munich borussia dortmund - continued fairytale season beat ajax -. half goals from\xarobin knoche and\xajosip juranovic - up. ajax star mohammed kudus pulled but\xadanilho doekhi helped union regain two-goal lead. saw rest game, edson alvarez picked red card stoppage time. sporting lisbon - narrowly pipped tottenham eintracht frankfurt qualifying champions league knockout stages - romped home danish outfit midtjylland. brace pedro goncalves, sebastian coates finish disastrous goal stefan gartenmann gave ruben amorin's - win night overall - aggregate victory. despite spirited comeback psv sevilla, spanish held winning leg - week progressed last-. luuk jong opened scoring team th minute jorge sampaoli's scare dutch outfit couldn't complete turnaround. injury time goal wolves loanee fabio silva gave - victory night. however, game marred ugly scenes fan invaded pitch attacked\xasevilla goalkeeper marko dmitrovic closing stages game. elsewhere, manchester united defeated barcelona - stirring comeback\xato win - aggregate. juventus saw past nantes goals-to-one legs italy, roma overturned leg deficit win - aggregate. elsewhere, sporting lisbon thrashed\xadanish midtjylland - progress round luuk jong inspired psv comeback went - sevilla aggregate daily mail, mail sunday & metro media group""}",exequiel palacios,en,2023-02-23T20:53:59Z
"buenos aires (ap) -- world cup winner argentina celebrate fans home games march panama curacao. argentina coach lionel scaloni friday announced -man squad included lionel messi, angel di maria members argentina's winning squad qatar. games beating france world cup final, argentina play panama march monumental stadium buenos aires. days later host curacao friendly northern city santiago del estero. manchester united forward alejandro garnacho rewarded impressing manchester united callup. -year-old scaloni earlier week extended contract end world cup. ___ squad: goalkeepers: emiliano martinez (aston villa), franco armani (river plate), geronimo rulli (ajax). defenders: juan foyth (villarreal), gonzalo montiel (sevilla), marcos acuna (sevilla), nahuel molina (atletico madrid), nehuen perez (udinese), german pezzella (betis), cristian romero (tottenham), nicolas otamendi (benfica), lisandro martinez (manchester united), nicolas tagliafico (lyon), lautaro blanco (elche). midfielders: leandro paredes (juventus), angel di maria (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximiliano perrone (manchester city), exequiel palacios (bayer leverkusen), rodrigo paul (atletico madrid), angel correa (atletico madrid), alexis mac allister (brighton), facundo buonanotte (brighton), thiago almada (atlanta united), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter milan). forwards: lionel messi (paris saint-germain), paulo dybala (roma), lautaro martinez (inter milan), julian alvarez (manchester city), alejandro garnacho (manchester united), nicolas gonzalez (fiorentina), alejandro gomez (sevilla). ___ ap soccer:",exequiel palacios,en,2023-03-03T16:40:46Z
"star edition change location copy personal non-commercial use only. order presentation-ready copies toronto star content distribution colleagues, clients customers, inquire permissions/licensing, to: www.torontostarreprints.com buenos aires (ap) -- world cup winner argentina celebrate fans home games march panama curacao. argentina coach lionel scaloni friday announced -man squad included lionel messi, angel di maria members argentina's winning squad qatar. games beating france world cup final, argentina play panama march monumental stadium buenos aires. days later host curacao friendly northern city santiago del estero. manchester united forward alejandro garnacho rewarded impressing manchester united callup. -year-old scaloni earlier week extended contract end world cup. ___ squad: goalkeepers: emiliano martinez (aston villa), franco armani (river plate), geronimo rulli (ajax). defenders: juan foyth (villarreal), gonzalo montiel (sevilla), marcos acuna (sevilla), nahuel molina (atletico madrid), nehuen perez (udinese), german pezzella (betis), cristian romero (tottenham), nicolas otamendi (benfica), lisandro martinez (manchester united), nicolas tagliafico (lyon), lautaro blanco (elche). midfielders: leandro paredes (juventus), angel di maria (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximiliano perrone (manchester city), exequiel palacios (bayer leverkusen), rodrigo paul (atletico madrid), angel correa (atletico madrid), alexis mac allister (brighton), facundo buonanotte (brighton), thiago almada (atlanta united), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter milan). forwards: lionel messi (paris saint-germain), paulo dybala (roma), lautaro martinez (inter milan), julian alvarez (manchester city), alejandro garnacho (manchester united), nicolas gonzalez (fiorentina), alejandro gomez (sevilla). ___ ap soccer: read conversations, contribute, registered torstar account holder. torstar account, create (it free) register rights reserved. republication distribution content expressly prohibited prior written consent toronto star newspapers limited and/or licensors. order copies toronto star articles, to: www.torontostarreprints.com'}",exequiel palacios,en,2023-03-03T16:42:19Z
"""world cup winners argentina celebrate fans home games march panama curacao matches triumph qatar. argentina coach lionel scaloni announced -man squad friday included lionel messi, angel di maria members argentina's winning squad qatar. manchester united forward alejandro garnacho rewarded impressing old trafford first-ever callup. -year-old, breakthrough season erik hag's side, contributed goals assists matches campaign. games beating france world cup final, argentina play panama march monumental stadium buenos aires. days later, host curacao friendly northern city santiago del estero. scaloni, , earlier week extended contract end world cup. squad: goalkeepers: emiliano martinez (aston villa), franco armani (river plate), geronimo rulli (ajax) defenders: nahuel molina (atletico madrid), cristian romero (tottenham), nicolas otamendi (benfica), nicolas tagliafico (lyon), gonzalo montiel (sevilla,), german pezzella (real betis), lisandro martinez (manchester united), marcos acuna (sevilla), juan foyth (villarreal), lautaro blanco (elche), nehuen perez (udinese). midfielders: rodrigo paul (atletico madrid), leandro paredes (juventus), guido rodriguez (real betis), alejandro gomez (sevilla), alexis mac allister (brighton), exequiel palacios (bayer leverkusen), enzo fernandez (chelsea), maximo perrone (manchester city), facundo buonanotte (brighton), giovani lo celso (villarreal), thiago almada (atlanta united), valentin carboni (inter milan). forwards: lionel messi (psg), lautaro martinez (inter milan), angel di maria (juventus), alejandro garnacho (manchester united), angel correa (atletico madrid), nicolas gonzalez (fiorentina), julian alvarez (manchester city), paulo dybala (roma), emiliano buendia (aston villa).""}",exequiel palacios,en,2023-03-03T18:17:37Z
"bayer leverkusen beat bayern munich bundesliga season, champions slumped - loss. goals penalties given var borussia dortmund await bayern. second time weeks, bayern munich pressure remain top table. borussia dortmund dominant performance - win cologne saturday night. pace, bayern needed step a\xaleverkusen team high qualifying europa league quarterfinals. showing perennial bundesliga champions leverkusen's bayarena was, instead, step wrong direction. half goal joshua kimmich canceled penalties exequiel palacios, resulting - win home team. performance emblematic inconsistent bundesliga campaign, klassiker dortmund upcoming international break, bayern pressure return form. ""it's frustrating,"" kimmich told reporters game. ""we read table. saw performance today. need competitions."" bayern rare midweek having ousted paris saint-germain champions league round week before. given game started, guess leverkusen fresher despite trip hungary ferencvaros europa league. leverkusen outshot guests half. shot, powerful deflected joshua kimmich effort top penalty area, saw visiting - halftime. alonso's stuck it, amine adli earning hosts penalties -- for\xaa challenge benjamin pavard dayot upamecano. adli initially booked diving incidents var intervened award hosts penalties. palacios converted leverkusen much-deserved - lead that\xathey never relinquish. ""that bayern munich stands for,"" hasan salihamidzic, bayern's head sport, told reporters game. ""we allowed team played thursday overrun us."" result latest example bayern's inconsistent performances bundesliga despite looking unstoppable champions league german cup. loss leverkusen came wild - victory augsburg harder-than-expected - win stuttgart -- sides easy wins perennial bundesliga winners. asked dw bayern's inconsistent league form, kimmich gave simple answer, blaming side's mentality going bundesliga matches. ""i think lot comes concentration,"" kimmich said. ""when concede goals, it\xaoften comes easy. it's opponents pick apart don't know defend them."" salihamidzic agreed: ""this team good good mentality play % kickoff. bad play like today."" kimmich didn't mince words result means klassiker dortmund april . ""the situation clearly changed,""\xahe said. ""we win return top table."" recent performances champions league suggest win dortmund possible. come if, like opponents today, turn game. edited by: matt pearson'}",exequiel palacios,en,2023-03-19T18:30:00Z
"""by reuters bayer leverkusen's exequiel palacios scored second-half penalties complete - comeback victory visitors bayern munich sunday deny bundesliga lead. bayern seen start hosts unleashing flurry shots yann sommer's goal opening minutes. did, however, score run play shot game joshua kimmich's effort deflected minutes. things, however, took turn worse bayern break sloppy defending earning hosts penalties. palacios draw level well-taken th minute spot kick earned another, time foul dayot upamecano. exequiel palacios scored twice penalty spot as\xabayer\xaleverkusen beat bayern munich joshua kimmich bayern munich ahead half deflected effort defeat saw bayern munich miss chance return top bundesliga argentine stepped beat sommer second time complete comeback xabi alonso's team rd. hung victory despite late pressure bavarians chances kinglsey coman matthijs ligt. bayern, face manchester city champions league quarter-finals month german cup eight, remain second place points, leaders borussia dortmund, crushed cologne - saturday. leverkusen climbed eighth . bayer leverkusen (--): \xahradecky; frimpong, koussounou, tapsoba, hincapie; palacios, demirbay, andrich; diaby, writz, adli scorer:\xapalacios ', ' manager:\xaxabi alonso bayern munich (---):\xasommer; pavard, upamecano, ligt; cancelo, kimmich, goretzka, davies; sane; mane, muller scorer: kimmach ' manager:\xajulian nagelsmann daily mail, mail sunday & metro media group""}",exequiel palacios,en,2023-03-19T18:42:59Z
"bayer leverkusen\'s exequiel palacios scored second-half penalties complete - comeback victory visitors bayern munich sunday deny bundesliga lead. bayern seen start hosts unleashing flurry shots yann sommer\'s goal opening minutes. - stream espn+: laliga, bundesliga, (u.s.) overall performance going one-week break international matches ahead april der klassiker leaders borussia dortmund coach julian nagelsmann wanted see. ""we deserve first-half lead. activity ball past weeks,"" said nagelsmann. ""the penalties correct. took long today deserved lose worse team."" bayern did, however, score run play shot game joshua kimmich\'s effort deflected minutes. things, however, took turn worse bayern break sloppy defending earning hosts penalties. palacios draw level well-taken th minute spot kick earned another, time foul dayot upamecano. argentine stepped beat sommer second time complete comeback xabi alonso\'s team rd. hung victory despite late pressure bavarians chances kinglsey coman matthijs ligt. bayern, face manchester city champions league quarterfinals month german cup eight, remain second place points, leaders borussia dortmund, crushed cologne - saturday. leverkusen climbed eighth . ""it clear dortmund win, firstly lead hopefully bring title bayern,"" nagelsmann said. ""if don\'t win lose form dortmund currently difficult."" min deposit requirement. free bets paid bet credits available use settlement bets value qualifying deposit. min odds, bet payment method exclusions apply. returns exclude bet credits stake. time limits t&cs apply. details sunday\'s bundesliga slate features borussia dortmund hosting vfl wolfsburg : et. bayern munich control destiny seek th straight title, numerous missteps, meisterschale looks far sure thing. highlight in-form talent aged europe\'s top leagues month april brighton fc salzburg stars. bundesliga play saturday, union berlin visiting fc augsburg : et. bundesliga play saturday, tsg hoffenheim hosting eintracht frankfurt : et. borussia monchengladbach hosts vfl bochum bundesliga play saturday : et.'}",exequiel palacios,en,2023-03-19T19:05:09Z
"tamojit chakraborty march , exequiel palacios scored twice penalty spot second half bayer leverkusen came beat bayern munich - bay arena sunday evening. result huge blow reigning champions, second borussia dortmund standings games left. leverkusen better sides half kept opponents bay stoic defending getting bodies ball maintaining shape possession. xabi alonso's men second balls, disrupting bayern's rhythm allowing munich carve threats. bayern, however, took lead nd minute joshua kimmich finished aplomb inside box following joao cancel's cross right wing. leon goretzka brought ball laying kimmich, slotted home run play bayern getaway goal. leverkusen didn't let heads drop despite setback played great determination, making tough bayern grab hold game. julian nagelsmann brought kingsley coman, jamal musiala, serge gnabry improve second half. however, leverkusen carved better chances half. minutes restart, french winger amine adli brought box referee booking player simulation. however, var intervened, showing clear foul, referee reversed decision award spot kick hosts. palacios stepped send yann sommer wrong way retore parity, deserved home side. interestingly, minutes later, adli brought inside penalty area booked simulation. like before, var intervened, referee gave penalty. palacios stepped converted second time - lead. bayern threw numbers late on, lukas hradecky string great saves deny gnabry, leroy sane, alphonso davies leverkusen held famous win. result means dortmund top standings points games, point ahead bayern going international break. interesting dortmund secure title bayern, won bundesliga consecutive seasons. includes: premier league + sports channels includes: bundesliga & la liga includes: champions league & serie includes: premier league includes: mls game leagues cup world soccer talk (c) . florida. world soccer talk reader-supported earn commission partner links.'}",exequiel palacios,en,2023-03-19T19:45:15Z
