data,player,language,publishedAt
"adeyemi firmo el que es su primer gol en lo que va de bundesliga  con florian wirtz dejando su lesion definitivamente en el olvido y exequiel palacios y amiri creando juego en la medular, el bayer leverkusen llevo la iniciativa en el juego desde el inicio, haciendo latente lo bien trabajando que tiene el equipo el bueno de xabi alonso, pero ni los mencionados ni sus companeros de equipo fueron capaces de superar a un kobel que supo mantener la porteria del dortmund a cero",exequiel palacios,es,2023-01-29T18:25:03Z
"florian wirtz, a la derecha, celebra su gol, el primero del bayer leverlusen en la vuelta ante el monaco  empezo marcando florian wirtz, quien puso en ventaja al bayer leverkusen en el minuto al aprovechar un balon suelto dejado por alexander nubel, portero del monaco, tras una jugada de jeremie frimpong",exequiel palacios,es,2023-01-30T16:52:46Z
"el club aleman, que siempre se ha caracterizado por confiar en gente joven con sangre nueva y, por supuesto, en mediocampistas sudamericanos con sacrificio, fisico y bien dotados tecnicamente, como lo son el chileno charles aranguiz que actualmente se encuentra lesionado y su regreso se espera para mitad de febrero, y el argentino de anos exequiel palacios",exequiel palacios,es,2023-01-31T20:41:38Z
"alberto fernandez  el presidente de la afa, claudio \'chiqui\' tapia; el integrante del cuerpo tecnico (y mano derecha del dt lionel scaloni), pablo aimar; y los volantes leandro paredes y exequiel palacios, por caso, posaron con los obsequios que les realizo el propio titular de sigschool, quien tambien viajo hasta paris en la previa del mundial para entregarle en mano a lionel messi varios articulos de su produccion y, asi, cumplir uno de sus suenos",exequiel palacios,es,2023-02-09T18:32:38Z
"alberto fernandez  tambien participaron los otros campeones de la fiesta de reinauguracion del monumental: en la pantalla gigante aparecieron gonzalo montiel, guido rodriguez, german pezzella, julian alvarez (el mas ovacionado) y enzo fernandez; solo falto el saludo de exequiel palacios",exequiel palacios,es,2023-02-12T21:13:55Z
"fue el momento en que desde las tribunas se desplegaron banderas con las imagenes de lionel messi, julian alvarez, gonzalo montiel, enzo fernandez, german pezzella, exequiel palacios, guido rodriguez y armani, todos con la copa del mundo",exequiel palacios,es,2023-02-13T01:05:15Z
"esta vez xabi alonso puso a\xapiero hincapie como lateral izquierdo, junto a edmond tapsoba, odilon kossounou y jeremie frimpong",exequiel palacios,es,2023-02-16T20:45:18Z
"por ultimo, exequiel palacios tambien tendra su momento con bayer leverkusen, que busca un triunfo frente a mainz",exequiel palacios,es,2023-02-19T01:15:14Z
"florian wirtz, a la derecha, celebra su gol, el primero del bayer leverlusen en la vuelta ante el monaco  el bayer leverkusen queria estar en octavos y exequiel palacios volvio a poner por delante al conjunto de xabi alonso en el ' con un disparo con la izquierda",exequiel palacios,es,2023-02-23T20:37:20Z
"los goles del leverkusen los anotaron florian wirtz, exequiel palacios y amine adli",exequiel palacios,es,2023-02-23T20:55:47Z
"el club catalan que lleva buscando un lateral de confianzas desde la salida de dani alves del club, en la temporada /, sin contar su vuelta, se habria fijado en el prometedor lateral neerlandes de anos,\xajeremie frimpong del bayer leverkusen",exequiel palacios,es,2023-02-23T23:30:42Z
