data,player,language,publishedAt,Label
ten if you included the toe-poked volley to team-mate palacios in the build-up,palacios,en,2023-02-16T23:56:00Z,NA
"bayerleverkusen took the lead again in the st minute, when midfielder palacios struck from the edge of the box following a corner and adli made it - before the hour mark with a fine header",palacios,en,2023-02-23T20:50:50Z,NA
"wissam ben yedder levelled straight away from the spot for monaco, before palacios put bayerleverkusen back ahead",palacios,en,2023-02-23T20:53:59Z,positiv
"midfielders: leandro paredes (juventus), angel di maria (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximiliano perrone (manchester city), palacios (bayerleverkusen), rodrigo de paul (atletico madrid), angel correa (atletico madrid), alexis mac allister (brighton), facundo buonanotte (brighton), thiago almada (atlanta united), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter milan)",palacios,en,2023-03-03T16:40:46Z,neutral
"midfielders: rodrigo de paul (atletico madrid), leandro paredes (juventus), guido rodriguez (real betis), alejandro gomez (sevilla), alexis mac allister (brighton), palacios (bayerleverkusen), enzo fernandez (chelsea), maximo perrone (manchester city), facundo buonanotte (brighton), giovani lo celso (villarreal), thiago almada (atlanta united), valentin carboni (inter milan)",palacios,en,2023-03-03T18:17:37Z,neutral
"a first half goal from joshua kimmich was canceled out by two penalties from palacios, resulting in a - win for the home team",palacios,en,2023-03-19T18:30:00Z,NA
" ""by reuters bayerleverkusen's palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead",palacios,en,2023-03-19T18:42:59Z,NA
bayerleverkusen\'s palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead,palacios,en,2023-03-19T19:05:09Z,NA
"by tamojit chakraborty march , palacios scored twice from the penalty spot in the second half as bayerleverkusen came back from behind to beat bayern munich - at the bay arena on sunday evening",palacios,en,2023-03-19T19:45:15Z,NA
" "" palacios scored two penalties as bayerleverkusen beat bayern munich who missed the chance to return to the top of the bundesliga",palacios,en,2023-03-19T20:03:28Z,NA
bayern munich missed the chance to move back to the top of the bundesliga after two second-half penalties from palacios saw them sink to a - defeat at bayerleverkusen,palacios,en,2023-03-19T22:29:07Z,NA
"up stepped palacios to beat bayern keeper yann sommer on both occasions, and bayerleverkusen -- led by the super-stylish alonso -- could then celebrate a famous win",palacios,en,2023-03-20T01:35:10Z,NA
"rennes, instead, made the most of their chances.on the stroke of halftime, toko ekambi collected a superb long pass from benjamin bourigeaud and fired home from just inside the box, making up for a couple of earlier bad choices.rennes doubled their advantage with their second shot on target, three minutes into the second half, as kalimuendo latched on to a cross from lesley ugochukwu to beat gianluigi donnarumma.forward hugo ekitike replaced midfielder fabian ruiz while midfielder renato sanches came on for defender juan bernat before the hour, but it was rennes who came closest to scoring again through toko ekambi.later on sunday, alexis sanchez netted a double to give om all three points at reims, who had gone unbeaten in ligue for six months.reims, who had opened the scoring through folarin balogun, are ninth on points.bayerleverkusen stun bayern munich bayerleverkusen\'s palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead",palacios,en,2023-03-20T04:56:02Z,NA
"although bayern took the lead through joshua kimmich on the day, two second-half penalties from palacios condemned them to defeat at bayarena",palacios,en,2023-03-20T08:45:35Z,NA
bayerleverkusen hit back to beat bayern munich (martin meissner/ap) bayern munich missed the chance to move back to the top of the bundesliga after two second-half penalties from palacios saw them sink to a - defeat at bayerleverkusen,palacios,en,2023-03-20T09:46:49Z,NA
"the bundesliga fluctuations in munich this season are so frequent and so wild that it cannot help but invite scrutiny there were many remarkable aspects to the way in which this all unfolded; that bayerleverkusen showed considerably more nerve than their visitors in a - win and, also, that the home side's adli was twice cautioned by tobias stieler for simulation before the referee twice re-examined his decision on the monitor, twice withdrew the card with a smile and a handshake and twice awarded a penalty, both converted by palacios (twice to yann sommer's right, in case you wondered) to bring die werkself from behind and guide them home",palacios,en,2023-03-20T13:00:35Z,NA
"the two var penalties, both converted by palacios, dominated the headlines from sunday\'s game, but that\'s only part of the story",palacios,en,2023-03-20T18:07:28Z,NA
"today it was a lifesaver for the game."" palacios scored both penalties to end bayern's four-game winning run across all competitions and leave dortmund one point clear with nine rounds remaining",palacios,en,2023-03-20T21:20:28Z,positiv
"almada celebrates the world cup triumphj after the game with\xaexequiel palacios and angel correa thousands of fans turned up to congratulate the team on their achievement in qatar part of the daily mail, the mail on sunday & metro media group""} ",palacios,en,2023-03-24T13:06:53Z,NA
foul by palacios (argentina),palacios,en,2023-03-29T06:58:57Z,negativ
palacios beat yann sommer both times from the spot to ensure that bayern are in the unfamiliar position of second place this late in the season,palacios,en,2023-03-30T13:39:50Z,NA
"after stuttgart's draw with bayerleverkusen on sunday - andreas ""zecke"" neuendorf, hertha's licensing director, broke news of palacios' equaliser for die werkself during his own speech as a rallying cry - the berlin club need almost a mathematical miracle to escape",palacios,en,2023-05-15T09:43:15Z,NA
"two penalties ensured a share of the points, though stuttgart will rue palacios' equalizer as it left the team second from bottom on points with two rounds remaining",palacios,en,2023-05-14T15:44:56Z,NA
timothy fosu-mensah replaces frimpong,frimpong,en,2023-03-19T20:03:28Z,neutral
"the main area that bayerleverkusen have lent on since the former spain midfielder's arrival is a simple one, using the lightning pace of frimpong and diaby on the flanks, both of whom look renewed since alonso took charge",frimpong,en,2023-03-20T13:00:35Z,positiv
"we imagined ourselves in a different position going into it."" bayern had to rely on goalkeeper yann sommer to deny demirbay, then alphonso davies to clear from the lurking frimpong in the early stages",frimpong,en,2023-03-20T21:20:28Z,NA
ronald koeman launched a scathing assessment of frimpong's defensive abilities when explaining his omission from the squad for holland's upcoming euro qualifiers,frimpong,en,2023-03-22T10:35:51Z,negativ
"ronald koeman has made an undiplomatic return, saying he overlooked frimpong - an alternative to the suspended denzel dumfries - because he cannot defend",frimpong,en,2023-03-24T07:23:27Z,negativ
"declan rice continues to be linked with a move to united,\xawhile\xajeremie frimpong and axel disai (opens in new tab) could arrive at right-back and centre-back respectively",frimpong,en,2023-04-01T11:54:19Z,NA
"also, frimpong, wirtz and sardar azmoun scored for bayerleverkusen to ease to a - win at schalke",frimpong,en,2023-04-01T15:53:07Z,NA
"bayerleverkusen handed schalke their first defeat in nine matches, winning - away thanks to second-half goals from frimpong, wirtz and sardar azmoun",frimpong,en,2023-04-01T19:24:43Z,positiv
" ""transfer centre tuesday april :, uk manchester united are interested in bayerleverkusen right-back frimpong, according to sky germany",frimpong,en,2023-04-03T17:43:00Z,NA
"transfer talk brings you all the latest buzz on rumours, comings, goings and, of course, done deals! manchester united have begun talks with the representatives of bayerleverkusen wing-back frimpong, according to sky sports deutschland",frimpong,en,2023-04-03T22:35:02Z,NA
"with arthur slated to step in eventually to replace frimpong, the question has to be asked how do the two players compare? two things stand out, while frimpong is the better dribbler per minutes ( vs .), arthur is the more accurate crosser (.% vs .%)",frimpong,en,2023-04-04T04:20:44Z,NA
" celtic could be set for a cash boost from the sell-on clause in the deal that took frimpong to bayerleverkusen, with manchester united interested in the netherlands right-back",frimpong,en,2023-04-04T07:13:27Z,NA
"frimpong, who formerly played for man city and celtic before moving to germany, has recorded\xaeight goals and nine assists from full-back this year",frimpong,en,2023-04-04T11:07:06Z,NA
(calciomercato - in italian)external-link barcelona and bayern munich have followed manchester united in meeting with frimpong's agent over a potential move from bayerleverkusen this summer,frimpong,en,2023-04-06T22:05:52Z,NA
"frimpong: manchester united are looking at a PSmillion move for the dutch full-back, , from bayerleverkusen but face competition from barcelona and bayern munich, reports journalist fabrizio romano",frimpong,en,2023-04-07T06:22:07Z,NA
"(legalsportsbooks.com)external-link manchester united, bayern munich and barcelona are in a three-way battle for bayerleverkusen\'s frimpong - with celtic due % of the fee",frimpong,en,2023-04-07T07:22:13Z,NA
the other player on united's radar is bayerleverkusen's right-back frimpong,frimpong,en,2023-04-07T12:33:31Z,NA
" bayerleverkusen have 'taken precautions' in case frimpong leaves the club amid interest from manchester united, bayern munich and barcelona",frimpong,en,2023-04-07T13:11:21Z,NA
(nm) april - man utd become front-runner for long-time ten hag target frimpong netherlands youth international frimpong could hop back to manchester for a different color jersey than his youth days,frimpong,en,2023-04-09T13:05:49Z,NA
"with pavard\'s standing in the bayern team likely to be under added threat upon frimpong\'s arrival, that could create a suitable plan b for man united, with various outlets already reporting that the -year-old could leave the allianz arena",frimpong,en,2023-04-10T00:05:42Z,NA
"united have held meetings with representatives of players, such as bayerleverkusen right-back frimpong, and their priority remains a striker, then midfielder, centre-back, right-back and possibly a goalkeeper",frimpong,en,2023-04-10T13:24:05Z,NA
"the hosts spurned chances to level, with frimpong heading wide from close range, before wirtz found the bottom corner from sardar azmoun's pass",frimpong,en,2023-04-13T21:22:35Z,negativ
manchester united target frimpong has hinted at a possible summer move to old trafford by admitting his future at bayerleverkusen remains unclear,frimpong,en,2023-04-14T14:48:15Z,NA
" manchester united are said to have held talks with the representatives for bayerleverkusen right back frimpong amidst plans for a fire sale of defenders in the upcoming transfer window, according to reports",frimpong,en,2023-04-19T16:09:16Z,NA
"the german outfit stormed to a - victory on aggregate after goals from diaby, frimpong, adam hlozek and bakker earned them a win in the second-leg in belgium",frimpong,en,2023-04-20T20:52:37Z,NA
"bayerleverkusen has reached the semifinal of a european competition by beating belgian side union saint-gilles - (- on aggregate) on thursday thanks to goals by diaby ('), bakker ('), frimpong (') and adam hlozek (')",frimpong,en,2023-04-20T22:27:28Z,NA
morris then played the ball straight to frimpong who fired it straight back past the luxembourg international after minutes,frimpong,en,2023-04-21T00:03:57Z,NA
"under pressure from bakker, the keeper sent the ball straight into the path of frimpong who only had to kick it into the empty goal",frimpong,en,2023-04-21T03:51:46Z,NA
"timo werner, dominik szoboszlai and christopher nkunku all went close for leipzig, which pushed hard for an equalizer until szoboszlai conceded the penalty in the th for bringing down frimpong",frimpong,en,2023-04-23T18:02:54Z,negativ
"players used in the final:\xacraig holloway, alex bailey, sebastian svard, ryan garry, nicky nicolau, moritz volz, steve sidwell, rohan ricketts, jerome thomas, jermaine pennant, frimpong aliadiere, michael jordan, justin hoyte, ben chorley, stephen santry, jermaine brown, carlin itonga arsenal - liverpool\xa sunu, wilshere (pen), watt, emmanuel-thomas liverpool - arsenal watt, ayala (o.g.) arsenal win - on aggregate the last time we lifted the youth cup was years ago, meaning jack wilshere is bidding to bring the trophy back to n after his on-field performance helped us claim it in against liverpool",frimpong,en,2023-04-24T08:14:00Z,NA
"as reported by rmc sport, bayerleverkusen's frimpong has also emerged as one of the targets for the old trafford club alongside vanderson",frimpong,en,2023-04-28T06:36:10Z,NA
"luke shaw remains at left back, and though there is reported interest in right backs like denzel dumfries of inter milan and bayerleverkusen's frimpong, those deals may have to wait until future transfer windows, given ffp restrictions",frimpong,en,2023-05-04T18:01:58Z,NA
the red devils have been linked with bayerleverkusen star frimpong - who has a staggering nine goals from right back - and his representatives are thought to have been encouraged after talks with the red devils,frimpong,en,2023-05-24T11:33:33Z,NA
"after jumping to third place in the bundesliga in -, the club warded off potential suitors to maintain an exciting, young roster core -- attackers diaby, wirtz and patrik schick, wing-backs frimpong and mitchell bakker, etc",frimpong,en,2023-05-24T11:20:50Z,NA
assisted by frimpong,frimpong,en,2023-05-18T21:09:58Z,NA
"they then ousted competition debutants union saint-gilloise in the quarterfinals, a - home draw followed by a - win in brussels with goals from diaby, bakker, frimpong and adam hlozek",frimpong,en,2023-05-17T17:55:40Z,NA
one of them has been speed from the left that can match what frimpong and timothy fosu-mensah have produced from the right-back position,frimpong,en,2023-05-17T00:00:19Z,NA
"steidten is credited as having played a key role in the acquisitions of several young talents at the club, such as edmond tapsoba, frimpong and hincapie",frimpong,en,2023-05-16T12:22:18Z,NA
"marcel sabitzer could return to bayern munich at the end of his old trafford loan spell harry kane has been heavily linked with a move to old trafford as united target a forward furthermore, the report states that man united 'are open to strengthening at right-back', with previous links to the likes of denzel dumfries and frimpong",frimpong,en,2023-05-12T10:37:21Z,NA
frimpong failed to capitalize on roma goalkeeper rui patricio's blunder in a clear chance to equalize,frimpong,en,2023-05-11T22:06:19Z,NA
"only once did the roma defense look like buckling, patricio spilling a regulation cross that landed at the feet of frimpong",frimpong,en,2023-05-11T21:21:55Z,NA
the ball fell to frimpong,frimpong,en,2023-05-11T20:55:12Z,NA
"""i think i am at the level i was at before, in some areas, maybe even playing a little better,"" he told cbs sports in an exclusive interview alongside teammate frimpong",frimpong,en,2023-05-10T15:19:55Z,NA
