data,player,language,publishedAt
"bayerleverkusen took the lead again in the st minute, when midfielder palacios struck from the edge of the box following a corner and adli made it - before the hour mark with a fine header",exequiel palacios,en,2023-02-23T20:50:50Z
"midfielders: leandro paredes (juventus), angel di maria (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximiliano perrone (manchester city), palacios (bayerleverkusen), rodrigo de paul (atletico madrid), angel correa (atletico madrid), alexis mac allister (brighton), facundo buonanotte (brighton), thiago almada (atlanta united), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter milan)",exequiel palacios,en,2023-03-03T16:42:19Z
"a first half goal from joshua kimmich was canceled out by two penalties from palacios, resulting in a - win for the home team",exequiel palacios,en,2023-03-19T18:30:00Z
" ""by reuters bayerleverkusen's palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead",exequiel palacios,en,2023-03-19T18:42:59Z
bayerleverkusen\'s palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead,exequiel palacios,en,2023-03-19T19:05:09Z
palacios scored twice from the penalty spot in the second half as bayerleverkusen came back from behind to beat bayern munich - at the bay arena on sunday evening,exequiel palacios,en,2023-03-19T19:45:15Z
" "" palacios scored two penalties as bayerleverkusen beat bayern munich who missed the chance to return to the top of the bundesliga",exequiel palacios,en,2023-03-19T20:03:28Z
bayern munich missed the chance to move back to the top of the bundesliga after two second-half penalties from palacios saw them sink to a - defeat at bayerleverkusen,exequiel palacios,en,2023-03-19T22:29:07Z
"rennes, instead, made the most of their chances.on the stroke of halftime, toko ekambi collected a superb long pass from benjamin bourigeaud and fired home from just inside the box, making up for a couple of earlier bad choices.rennes doubled their advantage with their second shot on target, three minutes into the second half, as kalimuendo latched on to a cross from lesley ugochukwu to beat gianluigi donnarumma.forward hugo ekitike replaced midfielder fabian ruiz while midfielder renato sanches came on for defender juan bernat before the hour, but it was rennes who came closest to scoring again through toko ekambi.later on sunday, alexis sanchez netted a double to give om all three points at reims, who had gone unbeaten in ligue for six months.reims, who had opened the scoring through folarin balogun, are ninth on points.bayerleverkusen stun bayern munich bayerleverkusen\'s palacios scored two second-half penalties to complete a - comeback victory over visitors bayern munich on sunday and deny them the bundesliga lead",exequiel palacios,en,2023-03-20T04:56:02Z
" although bayern took the lead through joshua kimmich on the day, two second-half penalties from palacios condemned them to defeat at bayarena",exequiel palacios,en,2023-03-20T08:45:35Z
bayerleverkusen hit back to beat bayern munich (martin meissner/ap) bayern munich missed the chance to move back to the top of the bundesliga after two second-half penalties from palacios saw them sink to a - defeat at bayerleverkusen,exequiel palacios,en,2023-03-20T09:46:49Z
foul by palacios (argentina),exequiel palacios,en,2023-03-29T06:58:57Z
palacios beat yann sommer both times from the spot to ensure that bayern are in the unfamiliar position of second place this late in the season,exequiel palacios,en,2023-03-30T13:39:50Z
"after stuttgart's draw with bayerleverkusen on sunday - andreas ""zecke"" neuendorf, hertha's licensing director, broke news of palacios' equaliser for die werkself during his own speech as a rallying cry - the berlin club need almost a mathematical miracle to escape",exequiel palacios,en,2023-05-15T09:43:15Z
timothy fosu-mensah replaces frimpong,jeremie frimpong,en,2023-03-19T20:03:28Z
"we imagined ourselves in a different position going into it."" bayern had to rely on goalkeeper yann sommer to deny demirbay, then alphonso davies to clear from the lurking frimpong in the early stages",jeremie frimpong,en,2023-03-20T21:20:28Z
 ronald koeman launched a scathing assessment of frimpong's defensive abilities when explaining his omission from the squad for holland's upcoming euro qualifiers,jeremie frimpong,en,2023-03-22T10:35:51Z
"ronald koeman has made an undiplomatic return, saying he overlooked frimpong - an alternative to the suspended denzel dumfries - because he cannot defend",jeremie frimpong,en,2023-03-24T07:23:27Z
"also, frimpong, wirtz and sardar azmoun scored for bayerleverkusen to ease to a - win at schalke",jeremie frimpong,en,2023-04-01T15:53:07Z
"bayerleverkusen handed schalke their first defeat in nine matches, winning - away thanks to second-half goals from frimpong, wirtz and sardar azmoun",jeremie frimpong,en,2023-04-01T19:24:43Z
" ""transfer centre manchester united are interested in bayerleverkusen right-back frimpong, according to sky germany",jeremie frimpong,en,2023-04-03T17:43:00Z
"manchester united have begun talks with the representatives of bayerleverkusen wing-back frimpong, according to sky sports deutschland",jeremie frimpong,en,2023-04-03T22:35:02Z
bayerleverkusen full-back frimpong has emerged as a target for man united erik ten hag will be in the market for a new right-back when the transfer window opens they note that the -year-old will be out of contract in the summer of and that could help engineer a move to old trafford in the next window,jeremie frimpong,en,2023-04-04T11:07:06Z
"frimpong: manchester united are looking at a PSmillion move for the dutch full-back, , from bayerleverkusen but face competition from barcelona and bayern munich, reports journalist fabrizio romano",jeremie frimpong,en,2023-04-07T06:22:07Z
the other player on united's radar is bayerleverkusen's right-back frimpong,jeremie frimpong,en,2023-04-07T12:33:31Z
" bayerleverkusen have 'taken precautions' in case frimpong leaves the club amid interest from manchester united, bayern munich and barcelona",jeremie frimpong,en,2023-04-07T13:11:21Z
(nm) netherlands youth international frimpong could hop back to manchester for a different color jersey than his youth days,jeremie frimpong,en,2023-04-09T13:05:49Z
"-year-old wan-bissaka already faces competition from diogo dalot at old trafford, and the red devils have been heavily linked with a move for bayerleverkusen\'s frimpong, making the competition tight for the right-back spot under head coach erik ten hag",jeremie frimpong,en,2023-04-10T00:05:42Z
"the hosts spurned chances to level, with frimpong heading wide from close range, before wirtz found the bottom corner from sardar azmoun's pass",jeremie frimpong,en,2023-04-13T21:22:35Z
"dutch star frimpong doesn't know what the future holds for him ahead of next season erik ten hag has targeted frimpong as one of his recruits as he looks to build for next season the -year-old has made starts for the german side this season, scoring eight goals in the bundesliga during an impressive campaign",jeremie frimpong,en,2023-04-14T14:48:15Z
" manchester united are said to have held talks with the representatives for bayerleverkusen right back frimpong amidst plans for a fire sale of defenders in the upcoming transfer window, according to reports",jeremie frimpong,en,2023-04-19T16:09:16Z
" the german outfit stormed to a - victory on aggregate after goals from diaby, frimpong, adam hlozek and bakker earned them a win in the second-leg in belgium",jeremie frimpong,en,2023-04-20T20:52:37Z
