,Word,Frequency,player,language
39,weltmeist,48,exequiel palacios,de
15,spiel,46,exequiel palacios,de
79,adli,39,exequiel palacios,de
63,sagt,29,exequiel palacios,de
47,saint,27,exequiel palacios,de
17,hinspiel,27,exequiel palacios,de
134,wirtz,27,exequiel palacios,de
58,bundesliga,27,exequiel palacios,de
0,trainer,26,exequiel palacios,de
77,elfmet,26,exequiel palacios,de
44,union,25,exequiel palacios,de
70,bayern,22,exequiel palacios,de
91,stieler,21,exequiel palacios,de
48,gillois,21,exequiel palacios,de
16,donnerstag,21,exequiel palacios,de
131,tapsoba,21,exequiel palacios,de
11,amiri,20,exequiel palacios,de
20,gelb,20,exequiel palacios,de
18,europaleagu,20,exequiel palacios,de
121,minuten,20,exequiel palacios,de
175,trainer,43,jeremie frimpong,de
14,wirtz,38,jeremie frimpong,de
148,union,36,jeremie frimpong,de
20,tor,35,jeremie frimpong,de
17,bakker,34,jeremie frimpong,de
15,hlozek,31,jeremie frimpong,de
170,spiel,30,jeremie frimpong,de
24,bayern,30,jeremie frimpong,de
36,bundesliga,29,jeremie frimpong,de
171,ball,28,jeremie frimpong,de
130,hinspiel,26,jeremie frimpong,de
64,sagt,25,jeremie frimpong,de
191,europaleagu,25,jeremie frimpong,de
283,roma,25,jeremie frimpong,de
5,hradecki,25,jeremie frimpong,de
240,traf,24,jeremie frimpong,de
25,kurz,23,jeremie frimpong,de
58,mehr,23,jeremie frimpong,de
51,uber,23,jeremie frimpong,de
139,schluss,22,jeremie frimpong,de
43,union,30,jonathan tah,de
68,wirtz,30,jonathan tah,de
87,sagt,26,jonathan tah,de
46,trainer,25,jonathan tah,de
14,tor,24,jonathan tah,de
9,nationalspiel,23,jonathan tah,de
10,uber,22,jonathan tah,de
83,spiel,21,jonathan tah,de
60,immer,20,jonathan tah,de
132,europaleagu,20,jonathan tah,de
139,saint,20,jonathan tah,de
13,hradecki,20,jonathan tah,de
140,gillois,19,jonathan tah,de
76,wir,19,jonathan tah,de
54,abwehrchef,17,jonathan tah,de
11,ball,17,jonathan tah,de
12,luka,17,jonathan tah,de
88,sieg,16,jonathan tah,de
34,werkself,16,jonathan tah,de
108,traf,16,jonathan tah,de
97,hlozek,57,mitchel bakker,de
75,traf,52,mitchel bakker,de
73,tor,50,mitchel bakker,de
88,wirtz,45,mitchel bakker,de
124,frimpong,44,mitchel bakker,de
1,trainer,43,mitchel bakker,de
106,minuten,34,mitchel bakker,de
27,spiel,32,mitchel bakker,de
244,ball,32,mitchel bakker,de
26,minut,31,mitchel bakker,de
99,union,29,mitchel bakker,de
82,adli,29,mitchel bakker,de
116,adam,28,mitchel bakker,de
108,paus,26,mitchel bakker,de
54,mehr,25,mitchel bakker,de
104,fuhrung,24,mitchel bakker,de
15,kam,23,mitchel bakker,de
70,europaleagu,22,mitchel bakker,de
112,flank,22,mitchel bakker,de
107,spater,21,mitchel bakker,de
2,wirtz,82,moussa diaby,de
1,frimpong,56,moussa diaby,de
3,tor,53,moussa diaby,de
66,ball,50,moussa diaby,de
57,union,50,moussa diaby,de
17,hlozek,45,moussa diaby,de
281,bakker,41,moussa diaby,de
115,traf,37,moussa diaby,de
251,trainer,36,moussa diaby,de
89,uber,34,moussa diaby,de
37,paus,33,moussa diaby,de
4,adli,33,moussa diaby,de
88,mehr,33,moussa diaby,de
200,hinspiel,30,moussa diaby,de
184,saint,29,moussa diaby,de
81,team,28,moussa diaby,de
229,minuten,28,moussa diaby,de
26,bundesliga,28,moussa diaby,de
109,minut,27,moussa diaby,de
35,sorgt,27,moussa diaby,de
7,millionen,32,mykhaylo mudryk,de
0,chelsea,29,mykhaylo mudryk,de
8,euro,28,mykhaylo mudryk,de
2,fernandez,18,mykhaylo mudryk,de
17,felix,11,mykhaylo mudryk,de
16,joao,11,mykhaylo mudryk,de
14,donezk,11,mykhaylo mudryk,de
13,winter,10,mykhaylo mudryk,de
18,enzo,10,mykhaylo mudryk,de
6,leagu,8,mykhaylo mudryk,de
9,uber,8,mykhaylo mudryk,de
20,atletico,7,mykhaylo mudryk,de
12,spieler,7,mykhaylo mudryk,de
10,mehr,6,mykhaylo mudryk,de
5,premier,6,mykhaylo mudryk,de
4,allein,6,mykhaylo mudryk,de
19,saison,6,mykhaylo mudryk,de
3,transfer,6,mykhaylo mudryk,de
1,potter,5,mykhaylo mudryk,de
15,rund,5,mykhaylo mudryk,de
26,uber,33,piero hincapie,de
13,trainer,29,piero hincapie,de
56,adli,28,piero hincapie,de
22,frimpong,28,piero hincapie,de
99,demirbai,25,piero hincapie,de
74,minut,24,piero hincapie,de
65,europaleagu,24,piero hincapie,de
72,wirtz,22,piero hincapie,de
7,tah,21,piero hincapie,de
86,ball,20,piero hincapie,de
91,spiel,18,piero hincapie,de
124,torhut,16,piero hincapie,de
123,weigl,15,piero hincapie,de
80,tor,15,piero hincapie,de
31,kam,15,piero hincapie,de
121,gladbach,15,piero hincapie,de
106,kurz,14,piero hincapie,de
116,hradecki,14,piero hincapie,de
2,jona,14,piero hincapie,de
12,sonntag,13,piero hincapie,de
95,goal,106,exequiel palacios,en
3,win,91,exequiel palacios,en
91,bayern,91,exequiel palacios,en
6,game,76,exequiel palacios,en
19,minut,66,exequiel palacios,en
35,score,55,exequiel palacios,en
209,point,54,exequiel palacios,en
7,time,52,exequiel palacios,en
4,second,50,exequiel palacios,en
103,half,48,exequiel palacios,en
99,dortmund,38,exequiel palacios,en
94,season,38,exequiel palacios,en
25,lead,36,exequiel palacios,en
93,bundesliga,35,exequiel palacios,en
2,penalti,35,exequiel palacios,en
115,shot,34,exequiel palacios,en
8,team,34,exequiel palacios,en
119,top,33,exequiel palacios,en
49,real,33,exequiel palacios,en
189,left,32,exequiel palacios,en
106,match,826,jeremie frimpong,en
1,unit,654,jeremie frimpong,en
112,leagu,615,jeremie frimpong,en
858,highlight,602,jeremie frimpong,en
642,replai,593,jeremie frimpong,en
111,premier,498,jeremie frimpong,en
125,season,481,jeremie frimpong,en
1275,usa,473,jeremie frimpong,en
33,new,415,jeremie frimpong,en
0,manchest,414,jeremie frimpong,en
246,goal,402,jeremie frimpong,en
352,arsen,355,jeremie frimpong,en
38,summer,339,jeremie frimpong,en
1281,network,321,jeremie frimpong,en
62,club,316,jeremie frimpong,en
27,time,313,jeremie frimpong,en
669,watch,307,jeremie frimpong,en
97,report,298,jeremie frimpong,en
196,citi,272,jeremie frimpong,en
285,chelsea,265,jeremie frimpong,en
4,goal,20,mitchel bakker,en
0,score,13,mitchel bakker,en
3,leagu,8,mitchel bakker,en
5,frimpong,5,mitchel bakker,en
551,match,652,moussa diaby,en
818,highlight,592,moussa diaby,en
273,arsen,541,moussa diaby,en
215,season,492,moussa diaby,en
330,leagu,396,moussa diaby,en
56,team,327,moussa diaby,en
676,network,322,moussa diaby,en
743,citi,320,moussa diaby,en
44,goal,313,moussa diaby,en
178,time,302,moussa diaby,en
121,game,299,moussa diaby,en
52,club,297,moussa diaby,en
106,year,291,moussa diaby,en
415,premier,284,moussa diaby,en
126,plai,283,moussa diaby,en
43,win,250,moussa diaby,en
314,rate,249,moussa diaby,en
452,new,240,moussa diaby,en
156,watch,235,moussa diaby,en
309,chelsea,223,moussa diaby,en
988,recap,3196,mykhaylo mudryk,en
479,highlight,3000,mykhaylo mudryk,en
74,match,2988,mykhaylo mudryk,en
987,replai,2932,mykhaylo mudryk,en
213,usa,1766,mykhaylo mudryk,en
938,network,1574,mykhaylo mudryk,en
73,leagu,1304,mykhaylo mudryk,en
375,rate,1215,mykhaylo mudryk,en
72,premier,1188,mykhaylo mudryk,en
122,chelsea,1185,mykhaylo mudryk,en
11,arsen,1085,mykhaylo mudryk,en
27,citi,958,mykhaylo mudryk,en
442,watch,939,mykhaylo mudryk,en
6,season,828,mykhaylo mudryk,en
123,live,760,mykhaylo mudryk,en
130,liverpool,666,mykhaylo mudryk,en
7,newcastl,602,mykhaylo mudryk,en
246,brighton,601,mykhaylo mudryk,en
818,fulham,588,mykhaylo mudryk,en
322,leed,576,mykhaylo mudryk,en
60,club,86,piero hincapie,en
0,transfer,70,piero hincapie,en
39,year,52,piero hincapie,en
125,valu,44,piero hincapie,en
166,game,43,piero hincapie,en
163,goal,41,piero hincapie,en
97,season,41,piero hincapie,en
70,time,40,piero hincapie,en
18,unit,39,piero hincapie,en
50,midfield,39,piero hincapie,en
73,plai,39,piero hincapie,en
29,tottenham,37,piero hincapie,en
115,back,36,piero hincapie,en
7,manchest,36,piero hincapie,en
51,new,33,piero hincapie,en
11,team,31,piero hincapie,en
109,minut,31,piero hincapie,en
14,leagu,30,piero hincapie,en
137,ryan,29,piero hincapie,en
56,final,29,piero hincapie,en
171,martinez,127,exequiel palacios,es
189,nicola,108,exequiel palacios,es
182,angel,88,exequiel palacios,es
66,lionel,71,exequiel palacios,es
95,campeon,71,exequiel palacios,es
96,mundo,67,exequiel palacios,es
183,correa,66,exequiel palacios,es
17,marco,59,exequiel palacios,es
68,leandro,53,exequiel palacios,es
78,messi,53,exequiel palacios,es
112,montiel,52,exequiel palacios,es
274,emiliano,52,exequiel palacios,es
195,dybala,51,exequiel palacios,es
61,fernandez,50,exequiel palacios,es
194,paulo,50,exequiel palacios,es
288,lautaro,50,exequiel palacios,es
111,gonzalo,49,exequiel palacios,es
69,pared,49,exequiel palacios,es
192,maria,49,exequiel palacios,es
114,rodriguez,48,exequiel palacios,es
34,bayern,16,jeremie frimpong,es
9,later,15,jeremie frimpong,es
14,minuto,15,jeremie frimpong,es
28,xabi,15,jeremie frimpong,es
8,final,13,jeremie frimpong,es
16,gol,12,jeremie frimpong,es
40,equipo,11,jeremie frimpong,es
4,hincapi,11,jeremie frimpong,es
2,europa,11,jeremie frimpong,es
5,partido,10,jeremie frimpong,es
3,leagu,10,jeremie frimpong,es
38,rival,9,jeremie frimpong,es
26,conjunto,8,jeremie frimpong,es
15,tiempo,8,jeremie frimpong,es
35,munich,8,jeremie frimpong,es
33,manchest,8,jeremie frimpong,es
39,sin,7,jeremie frimpong,es
43,grand,7,jeremie frimpong,es
42,gole,7,jeremie frimpong,es
31,gran,7,jeremie frimpong,es
1,equipo,11,mitchel bakker,es
0,hincapi,9,mitchel bakker,es
5,minuto,9,mitchel bakker,es
4,partido,8,mitchel bakker,es
7,rival,6,mitchel bakker,es
8,frimpong,6,mitchel bakker,es
11,tiempo,6,mitchel bakker,es
9,adam,5,mitchel bakker,es
10,hlozek,5,mitchel bakker,es
12,europa,5,mitchel bakker,es
0,partido,30,moussa diaby,es
35,minuto,30,moussa diaby,es
45,equipo,25,moussa diaby,es
5,gol,21,moussa diaby,es
26,final,19,moussa diaby,es
31,frimpong,19,moussa diaby,es
50,xabi,18,moussa diaby,es
13,wirtz,18,moussa diaby,es
18,europa,17,moussa diaby,es
49,disparo,16,moussa diaby,es
12,florian,14,moussa diaby,es
19,leagu,14,moussa diaby,es
21,hincapi,14,moussa diaby,es
22,aleman,14,moussa diaby,es
59,area,13,moussa diaby,es
66,adli,13,moussa diaby,es
3,gole,13,moussa diaby,es
47,primera,12,moussa diaby,es
42,balon,12,moussa diaby,es
