data,player,language,publishedAt
included toe poked volley team mate exequiel palacios build up ,exequiel palacios,en,2023-02-16T23:56:00Z
leverkusen took lead minute  midfielder exequiel palacios struck edge box following corner amine adli hour mark fine header ,exequiel palacios,en,2023-02-23T20:50:50Z
wissam ben yedder levelled straight away spot monaco  exequiel palacios leverkusen ahead ,exequiel palacios,en,2023-02-23T20:53:59Z
midfielders  leandro paredes  juventus  angel maria  juventus  guido rodriguez  betis  enzo fernandez  chelsea  maximiliano perrone  manchester city  exequiel palacios  bayer leverkusen  rodrigo paul  atletico madrid  angel correa  atletico madrid  alexis mac allister  brighton  facundo buonanotte  brighton  thiago almada  atlanta united  giovani celso  villarreal  emiliano buendia  aston villa  valentin carboni  inter milan ,exequiel palacios,en,2023-03-03T16:40:46Z
midfielders  rodrigo paul  atletico madrid  leandro paredes  juventus  guido rodriguez  real betis  alejandro gomez  sevilla  alexis mac allister  brighton  exequiel palacios  bayer leverkusen  enzo fernandez  chelsea  maximo perrone  manchester city  facundo buonanotte  brighton  giovani celso  villarreal  thiago almada  atlanta united  valentin carboni  inter milan ,exequiel palacios,en,2023-03-03T18:17:37Z
half goal joshua kimmich canceled penalties exequiel palacios  resulting win home team ,exequiel palacios,en,2023-03-19T18:30:00Z
 by reuters bayer leverkusen s exequiel palacios scored second half penalties complete comeback victory visitors bayern munich sunday deny bundesliga lead ,exequiel palacios,en,2023-03-19T18:42:59Z
bayer leverkusen s exequiel palacios scored second half penalties complete comeback victory visitors bayern munich sunday deny bundesliga lead ,exequiel palacios,en,2023-03-19T19:05:09Z
exequiel palacios scored twice penalty spot second half bayer leverkusen came beat bayern munich bay arena sunday evening ,exequiel palacios,en,2023-03-19T19:45:15Z
exequiel palacios scored penalties bayer leverkusen beat bayern munich missed chance return top bundesliga ,exequiel palacios,en,2023-03-19T20:03:28Z
bayern munich missed chance top bundesliga second half penalties exequiel palacios saw sink defeat bayer leverkusen ,exequiel palacios,en,2023-03-19T22:29:07Z
leverkusen stun bayern munich bayer leverkusen s exequiel palacios scored second half penalties complete comeback victory visitors bayern munich sunday deny bundesliga lead ,exequiel palacios,en,2023-03-20T04:56:02Z
bayern took lead joshua kimmich day  second half penalties exequiel palacios condemned defeat bayarena ,exequiel palacios,en,2023-03-20T08:45:35Z
bayer leverkusen hit beat bayern munich  martin meissner ap  bayern munich missed chance top bundesliga second half penalties exequiel palacios saw sink defeat bayer leverkusen ,exequiel palacios,en,2023-03-20T09:46:49Z
foul exequiel palacios  argentina ,exequiel palacios,en,2023-03-29T06:58:57Z
exequiel palacios beat yann sommer times spot ensure bayern unfamiliar position second place late season ,exequiel palacios,en,2023-03-30T13:39:50Z
stuttgart s draw leverkusen sunday andreas  zecke  neuendorf  hertha s licensing director  broke news exequiel palacios  equaliser die werkself speech rallying berlin club need mathematical miracle escape ,exequiel palacios,en,2023-05-15T09:43:15Z
timothy fosu mensah replaces jeremie frimpong ,jeremie frimpong,en,2023-03-19T20:03:28Z
  bayern rely goalkeeper yann sommer deny kerem demirbay  alphonso davies clear lurking jeremie frimpong early stages ,jeremie frimpong,en,2023-03-20T21:20:28Z
ronald koeman launched scathing assessment jeremie frimpong s defensive abilities explaining omission squad holland s upcoming euro qualifiers ,jeremie frimpong,en,2023-03-22T10:35:51Z
ronald koeman undiplomatic return  saying overlooked jeremie frimpong alternative suspended denzel dumfries cannot defend ,jeremie frimpong,en,2023-03-24T07:23:27Z
also  jeremie frimpong  florian wirtz sardar azmoun scored bayer leverkusen ease win schalke ,jeremie frimpong,en,2023-04-01T15:53:07Z
bayer leverkusen handed schalke defeat matches  winning away thanks second half goals jeremie frimpong  florian wirtz sardar azmoun ,jeremie frimpong,en,2023-04-01T19:24:43Z
 transfer centre manchester united interested bayer leverkusen right back jeremie frimpong  according sky germany ,jeremie frimpong,en,2023-04-03T17:43:00Z
manchester united begun talks representatives bayer leverkusen wing back jeremie frimpong  according sky sports deutschland ,jeremie frimpong,en,2023-04-03T22:35:02Z
bayer leverkusen full back jeremie frimpong emerged target man united erik hag market new right back transfer window opens note  year old contract summer help engineer old trafford window ,jeremie frimpong,en,2023-04-04T11:07:06Z
jeremie frimpong  manchester united looking PSmillion dutch full back  bayer leverkusen face competition barcelona bayern munich  reports journalist fabrizio romano ,jeremie frimpong,en,2023-04-07T06:22:07Z
player united s radar bayer leverkusen s right back jeremie frimpong ,jeremie frimpong,en,2023-04-07T12:33:31Z
bayer leverkusen  taken precautions  case jeremie frimpong leaves club amid manchester united  bayern munich barcelona ,jeremie frimpong,en,2023-04-07T13:11:21Z
 nm  netherlands youth international jeremie frimpong hop manchester different color jersey youth days ,jeremie frimpong,en,2023-04-09T13:05:49Z
 year old wan bissaka faces competition diogo dalot old trafford  red devils heavily linked bayer leverkusen s jeremie frimpong  making competition tight right back spot head coach erik hag ,jeremie frimpong,en,2023-04-10T00:05:42Z
hosts spurned chances level  jeremie frimpong heading wide close range  wirtz corner sardar azmoun s pass ,jeremie frimpong,en,2023-04-13T21:22:35Z
dutch star jeremie frimpong doesn t know future holds ahead season erik hag targeted frimpong recruits looks build season  year old starts german season  scoring goals bundesliga impressive campaign ,jeremie frimpong,en,2023-04-14T14:48:15Z
manchester united said held talks representatives bayer leverkusen right jeremie frimpong amidst plans sale defenders upcoming transfer window  according reports ,jeremie frimpong,en,2023-04-19T16:09:16Z
german outfit stormed victory aggregate goals moussa diaby  jeremie frimpong  adam hlozek mitchel bakker earned win second leg belgium ,jeremie frimpong,en,2023-04-20T20:52:37Z
bayer leverkusen reached semifinal european competition beating belgian union saint gilles aggregate  thursday thanks goals moussa diaby   mitchel bakker   jeremie frimpong   adam hlozek  ,jeremie frimpong,en,2023-04-20T22:27:28Z
morris played ball straight jeremie frimpong fired straight past luxembourg international minutes ,jeremie frimpong,en,2023-04-21T00:03:57Z
pressure bakker  keeper sent ball straight path jeremie frimpong kick goal ,jeremie frimpong,en,2023-04-21T03:51:46Z
timo werner  dominik szoboszlai christopher nkunku went close leipzig  pushed hard equalizer szoboszlai conceded penalty bringing jeremie frimpong ,jeremie frimpong,en,2023-04-23T18:02:54Z
reported rmc sport  bayer leverkusen s jeremie frimpong emerged targets old trafford club alongside vanderson ,jeremie frimpong,en,2023-04-28T06:36:10Z
red devils linked bayer leverkusen star jeremie frimpong staggering goals right representatives thought encouraged talks red devils ,jeremie frimpong,en,2023-05-24T11:33:33Z
assisted jeremie frimpong ,jeremie frimpong,en,2023-05-18T21:09:58Z
speed left match jeremie frimpong timothy fosu mensah produced right back position ,jeremie frimpong,en,2023-05-17T00:00:19Z
steidten credited having played key role acquisitions young talents club  edmond tapsoba  jeremie frimpong piero hincapie ,jeremie frimpong,en,2023-05-16T12:22:18Z
marcel sabitzer return bayern munich end old trafford loan spell harry kane heavily linked old trafford united target forward furthermore  report states man united  are open strengthening right back  previous links likes denzel dumfries jeremie frimpong ,jeremie frimpong,en,2023-05-12T10:37:21Z
jeremie frimpong failed capitalize roma goalkeeper rui patricio s blunder clear chance equalize ,jeremie frimpong,en,2023-05-11T22:06:19Z
roma defense look like buckling  patricio spilling regulation cross landed feet jeremie frimpong ,jeremie frimpong,en,2023-05-11T21:21:55Z
ball fell jeremie frimpong ,jeremie frimpong,en,2023-05-11T20:55:12Z
think level before  areas  maybe playing little better  told cbs sports exclusive interview alongside teammate jeremie frimpong ,jeremie frimpong,en,2023-05-10T15:19:55Z
 when came down  says jeremie frimpong ,jeremie frimpong,en,2023-05-10T11:04:33Z
jonathan tah replaces moussa diaby ,jonathan tah,en,2023-03-19T20:03:28Z
mitchel bakker  bayer leverkusen  left footed shot centre box saved centre goal ,mitchel bakker,en,2023-03-19T20:03:28Z
german outfit stormed victory aggregate goals moussa diaby  jeremie frimpong  adam hlozek mitchel bakker earned win second leg belgium ,mitchel bakker,en,2023-04-20T20:52:37Z
bayer leverkusen reached semifinal european competition beating belgian union saint gilles aggregate  thursday thanks goals moussa diaby   mitchel bakker   jeremie frimpong   adam hlozek  ,mitchel bakker,en,2023-04-20T22:27:28Z
mitchel bakker volleyed second minutes ,mitchel bakker,en,2023-04-21T00:03:57Z
added goal break mitchel bakker volleying far post gifted hour courtesy big moris blunder ,mitchel bakker,en,2023-04-21T03:51:46Z
andrich won ball deep right back position moved quickly  right left  jeremie frimpong amine adli mitchel bakker  left channel moussa diaby  held second  picking onrushing adli confidently home edge area ,mitchel bakker,en,2023-05-08T09:00:32Z
gregor kobel  always  bit earn particularly outstanding save moussa diaby bvb felt organised habitual ,moussa diaby,en,2023-01-30T12:47:22Z
