data;player;language;publishedAt;Label
trainer alonso vor den mitgereisten fans in monaco  glucksmoment! palacios hebt nach seinem tor zum : ab  nach dem euro-highlight geht es in der bundesliga am sonntag (;palacios;de;2023-02-24T09:33:31Z;NA
zudem ist die konkurrenzsituation auf der doppelsechs gegen die seit woche voll im saft stehenden palacios, amiri, demirbay und andrich unter diesen voraussetzungen eine extrem schwierige fur aranguiz;palacios;de;2023-03-03T21:35:13Z;NA
wie auch palacios sah der defensive mittelfeldspieler beim :-erfolg im elfmeterschiessen bei der as monaco seine dritte gelbe karte und ist gesperrt;palacios;de;2023-03-07T11:34:39Z;NA
",,er ist eine option"", erklart alonso, der im mittelfeld auf seine doppel-sechs verzichten muss: andrich () und palacios () sind gesperrt, fur sie stehen demirbay () und amiri () bereit";palacios;de;2023-03-08T14:25:18Z;NA
   allerdings waren in andrich und dem argentinischen weltmeister palacios beide eigentlich gesetzten sechser gesperrt, charles aranguiz ist zudem verletzt;palacios;de;2023-03-09T19:53:46Z;NA
"""im grossen und ganzen haben wir ein sehr, sehr gutes spiel gemacht, sehr erwachsen, sehr konzentriert und bis zum ende durchgezogen"", lobte amiri, der mit demirbay im mittelfeldzentrum anstelle der gelbgesperrten andrich und palacios fur die ""gewisse stabilitat und balance"" gesorgt hatte";palacios;de;2023-03-09T22:03:00Z;NA
so stehen die stamm-sechser andrich und palacios, die am donnerstag noch gesperrt waren, frisch fur einen einsatz von beginn an zur verfugung;palacios;de;2023-03-10T17:47:41Z;NA
torschutzen unter sich: diaby und adli (r.) feiern adlis treffer zum : fur bayerleverkusen  palacios: der argentinische weltmeister von katar mit seinem nachsten starken spiel;palacios;de;2023-03-17T07:01:04Z;NA
der argentinische weltmeister palacios drehte das spiel mit zwei verwandelten foulelfmetern (., .);palacios;de;2023-03-19T18:22:00Z;NA
 bayerleverkusen drehte das spiel durch palacios, der in der ;palacios;de;2023-03-19T18:28:09Z;NA
 doch der argentinier palacios, einziger aktueller weltmeister in der bundesliga, drehte das spiel mit zwei foulelfmetern (./.);palacios;de;2023-03-19T18:28:23Z;NA
doch der argentinier palacios, einziger aktueller weltmeister in der bundesliga, drehte das spiel mit zwei foulelfmetern (./.);palacios;de;2023-03-19T18:35:00Z;NA
und zweimal griff der videoassistent korrigierend ein, es gab jeweils elfmeter, die ezequiel palacios verwandelte und die diesen erstaunlichen sieg moglich machten, durch den borussia dortmund erstmals seit wieder am ende eines spieltages an der tabellenspitze steht;palacios;de;2023-03-19T18:39:29Z;NA
am ende gab es jeweils elfmeter fur die werkself, die palacios beide sicher zum :-endstand verwandelte;palacios;de;2023-03-19T20:00:00Z;NA
zweimal verwandelte palacios, es wurde ein uberraschender : (:)-sieg;palacios;de;2023-03-19T20:01:45Z;positiv
die hauptbeteiligten: bayerleverkusen offensivmann adli, schiedsrichter tobias stieler, der video assistant referee (var)\xaund palacios;palacios;de;2023-03-19T20:12:00Z;NA
im gegenteil: nach wiederbeginn war bayerleverkusen aktiver als die gaste aus munchen und drehte durch zwei von palacios verwandelte var-elfmeter die partie;palacios;de;2023-03-19T22:08:00Z;NA
der\xaargentinische weltmeister palacios lasst sich das nicht nehmen und trifft;palacios;de;2023-03-20T05:11:00Z;NA
stieler nahm folgerichtig in beiden fallen die gelbe karte zuruck, bat adli per handschlag um entschuldigung und sprach den leverkusenern einen strafstoss zu, den palacios sicher verwandelte;palacios;de;2023-03-20T05:39:04Z;NA
