data,player,language,publishedAt,Label
bayerleverkusen took lead minute  midfielder palacios struck edge box following corner adli hour mark fine header,exequiel palacios,en,2023-02-23T20:50:50Z,NA
midfielders  leandro paredes  juventus  angel maria  juventus  guido rodriguez  betis  enzo fernandez  chelsea  maximiliano perrone  manchester city  palacios  bayerleverkusen  rodrigo paul  atletico madrid  angel correa  atletico madrid  alexis mac allister  brighton  facundo buonanotte  brighton  thiago almada  atlanta united  giovani celso  villarreal  emiliano buendia  aston villa  valentin carboni  inter milan,exequiel palacios,en,2023-03-03T16:42:19Z,neutral
half goal joshua kimmich canceled penalties palacios  resulting win home team,exequiel palacios,en,2023-03-19T18:30:00Z,positiv
by reuters bayerleverkusen s palacios scored second half penalties complete comeback victory visitors bayern munich sunday deny bundesliga lead,exequiel palacios,en,2023-03-19T18:42:59Z,NA
bayerleverkusen s palacios scored second half penalties complete comeback victory visitors bayern munich sunday deny bundesliga lead,exequiel palacios,en,2023-03-19T19:05:09Z,positiv
palacios scored twice penalty spot second half bayerleverkusen came beat bayern munich bay arena sunday evening,exequiel palacios,en,2023-03-19T19:45:15Z,NA
palacios scored penalties bayerleverkusen beat bayern munich missed chance return top bundesliga,exequiel palacios,en,2023-03-19T20:03:28Z,positiv
bayern munich missed chance top bundesliga second half penalties palacios saw sink defeat bayerleverkusen,exequiel palacios,en,2023-03-19T22:29:07Z,NA
bayerleverkusen stun bayern munich bayerleverkusen s palacios scored second half penalties complete comeback victory visitors bayern munich sunday deny bundesliga lead,exequiel palacios,en,2023-03-20T04:56:02Z,positiv
bayern took lead joshua kimmich day  second half penalties palacios condemned defeat bayarena,exequiel palacios,en,2023-03-20T08:45:35Z,NA
bayerleverkusen hit beat bayern munich  martin meissner ap  bayern munich missed chance top bundesliga second half penalties palacios saw sink defeat bayerleverkusen,exequiel palacios,en,2023-03-20T09:46:49Z,NA
foul palacios  argentina,exequiel palacios,en,2023-03-29T06:58:57Z,negativ
palacios beat yann sommer times spot ensure bayern unfamiliar position second place late season,exequiel palacios,en,2023-03-30T13:39:50Z,NA
stuttgart s draw bayerleverkusen sunday andreas  zecke  neuendorf  hertha s licensing director  broke news palacios  equaliser die werkself speech rallying berlin club need mathematical miracle escape,exequiel palacios,en,2023-05-15T09:43:15Z,NA
timothy fosu mensah replaces frimpong,jeremie frimpong,en,2023-03-19T20:03:28Z,neutral
bayern rely goalkeeper yann sommer deny demirbay  alphonso davies clear lurking frimpong early stages,jeremie frimpong,en,2023-03-20T21:20:28Z,NA
ronald koeman launched scathing assessment frimpong s defensive abilities explaining omission squad holland s upcoming euro qualifiers,jeremie frimpong,en,2023-03-22T10:35:51Z,negativ
ronald koeman undiplomatic return  saying overlooked frimpong alternative suspended denzel dumfries cannot defend,jeremie frimpong,en,2023-03-24T07:23:27Z,negativ
also  frimpong  wirtz sardar azmoun scored bayerleverkusen ease win schalke,jeremie frimpong,en,2023-04-01T15:53:07Z,NA
bayerleverkusen handed schalke defeat matches  winning away thanks second half goals frimpong  wirtz sardar azmoun,jeremie frimpong,en,2023-04-01T19:24:43Z,positiv
