data;player;language;publishedAt;Label
trainer alonso mitgereisten fan monaco glucksmoment hebt tor;exequiel palacios;de;2023-02-24T09:33:31Z;NA
sechser droht viereinhalb monaten paus bitter abschi dafur erscheint verletzungspaus lang zudem konkurrenzsitu doppelsech seit woch voll saft stehenden amiri demirbai andrich voraussetzungen extrem schwierig aranguiz;exequiel palacios;de;2023-03-03T21:35:13Z;NA
sechser erklart budapest spiel jungsten fortschritt donnerstag achtelfin hinspiel europaleagu ferencvaro budapest empfangt andrich fehlen sah defens mittelfeldspiel erfolg elfmeterschiessen monaco dritt gelb kart gesperrt massiv schwachung werkself doppelsech andrich zuletzt erfolgsfaktor;exequiel palacios;de;2023-03-07T11:34:39Z;NA
bakker mittwoch abschluss train ausgeschlossen jedoch bakker ungarn startelf steht option erklart alonso mittelfeld doppel sech verzichten muss andrich gesperrt stehen demirbai amiri bereit;exequiel palacios;de;2023-03-08T14:25:18Z;NA
allerd andrich argentinischen weltmeist beid eigentlich gesetzten sechser gesperrt charl aranguiz zudem verletzt donnerstag machten sach zumindest ordentlich;exequiel palacios;de;2023-03-09T19:53:46Z;NA
spaten tor joker sven michel union berlin mitreissenden achtelfin hinspiel europaleagu unentschieden gerettet chancen weiterkommen deutlich verbessert berlin taten royal union saint gillois heimischen stadion alten forsterei erneut schwer kamen zuschauern schossen victor bonifac minut yorb vertessen gast dreimal fuhrung josip juranov robin knoch michel erzielten jeweiligen ausgleichstor fussbal bundesligisten comeback qualitaten bewi;exequiel palacios;de;2023-03-09T20:01:53Z;NA
gut fehlentscheidung sascha stegemann borussia dortmund meisterschaft kostet entscheidenden moment gab bundesliga histori mehrfach sportschau blickt zuruck;exequiel palacios;de;2023-03-09T20:18:19Z;Bundesliga News
spielen mit gucken weit auf platz gefuhl spiel gut kontrollieren sagt amiri rtl durchhang zweiten halft al bisschen gefahrlich geworden sind bracht diesmal wanken grossen ganzen sehr gute spiel gemacht erwachsen konzentriert durchgezogen lobt amiri demirbai mittelfeldzentrum anstel gelbgesperrten andrich gewiss stabilitat balanc gesorgt hatt;exequiel palacios;de;2023-03-09T22:03:00Z;NA
trainer stellt nahend wiedersehen klub bayern munchen rotationsproblem erst spiel bremen gestaltet zumindest einfach februar hinspiel monaco niederlag mainz startelf funf positionen andert stehen stamm sechser andrich donnerstag gesperrt waren frisch einsatz beginn verfugung disziplinproblemen hertha bsc berucksichtigt budapest eingesetzt bakker link anfangsform rutschen;exequiel palacios;de;2023-03-10T17:47:41Z;NA
heiss begegnung bremen trotz fruhen fuhrungstreff marvin duksch werder bundesliga spiel hand nicla fullkrug verkurzt kurz schluss per elfmet tor kommt spat spiel nachlesen;exequiel palacios;de;2023-03-12T11:30:02Z;NA
