DATE,HOME_TEAM_NAME,AWAY_TEAM_NAME,SCORE_HOME,SCORE_AWAY,FIRST_NAME,LAST_NAME,MINUTES_PLAYED,GOALS,ASSISTS,IN_LINEUP
2023-05-14 13:30:00.000,VfB Stuttgart,Bayer 04 Leverkusen,1,1,Mitchel,Bakker,60,0,0,TRUE
2023-05-11 19:00:00.000,AS Rom,Bayer 04 Leverkusen,1,0,Mitchel,Bakker,54,0,0,FALSE
2023-05-05 18:30:00.000,Bayer 04 Leverkusen,1.FC Köln,1,2,Mitchel,Bakker,57,0,0,TRUE
2023-04-29 13:30:00.000,1.FC Union Berlin,Bayer 04 Leverkusen,0,0,Mitchel,Bakker,90,0,0,TRUE
2023-04-23 15:30:00.000,Bayer 04 Leverkusen,RasenBallsport Leipzig,2,0,Mitchel,Bakker,90,0,0,TRUE
2023-04-20 19:00:00.000,Royale Union Saint Gilloise,Bayer 04 Leverkusen,1,4,Mitchel,Bakker,90,1,0,TRUE
2023-04-16 17:30:00.000,VfL Wolfsburg,Bayer 04 Leverkusen,0,0,Mitchel,Bakker,0,0,0,FALSE
2023-04-13 19:00:00.000,Bayer 04 Leverkusen,Royale Union Saint Gilloise,1,1,Mitchel,Bakker,90,0,0,TRUE
2023-04-08 13:30:00.000,Bayer 04 Leverkusen,Eintracht Frankfurt,3,1,Mitchel,Bakker,20,0,0,FALSE
2023-04-01 13:30:00.000,FC Schalke 04,Bayer 04 Leverkusen,0,3,Mitchel,Bakker,7,0,0,FALSE
2023-03-27 12:00:00.000,Tschechien U21,Niederlande U21,1,1,Mitchel,Bakker,90,0,0,TRUE
2023-03-25 18:30:00.000,Norwegen U21,Niederlande U21,0,3,Mitchel,Bakker,22,0,0,FALSE
2023-03-19 16:30:00.000,Bayer 04 Leverkusen,FC Bayern München,2,1,Mitchel,Bakker,6,0,0,FALSE
2023-03-16 20:00:00.000,Ferencváros Budapest,Bayer 04 Leverkusen,0,2,Mitchel,Bakker,90,0,0,TRUE
2023-03-12 16:30:00.000,SV Werder Bremen,Bayer 04 Leverkusen,2,3,Mitchel,Bakker,90,1,0,TRUE
2023-03-09 17:45:00.000,Bayer 04 Leverkusen,Ferencváros Budapest,2,0,Mitchel,Bakker,0,0,0,FALSE
2023-02-26 14:30:00.000,SC Freiburg,Bayer 04 Leverkusen,1,1,Mitchel,Bakker,90,0,1,TRUE
2023-02-23 17:45:00.000,AS Monaco,Bayer 04 Leverkusen,5,8,Mitchel,Bakker,120,0,0,TRUE
2023-02-19 18:30:00.000,Bayer 04 Leverkusen,1.FSV Mainz 05,2,3,Mitchel,Bakker,0,0,0,FALSE
2023-02-16 20:00:00.000,Bayer 04 Leverkusen,AS Monaco,2,3,Mitchel,Bakker,0,0,0,FALSE
2023-02-11 14:30:00.000,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,1,3,Mitchel,Bakker,9,0,0,FALSE
2023-02-03 19:30:00.000,FC Augsburg,Bayer 04 Leverkusen,1,0,Mitchel,Bakker,77,0,0,TRUE
2023-01-29 16:30:00.000,Bayer 04 Leverkusen,Borussia Dortmund,0,2,Mitchel,Bakker,27,0,0,FALSE
2023-01-25 19:30:00.000,Bayer 04 Leverkusen,VfL Bochum,2,0,Mitchel,Bakker,0,0,0,FALSE
2023-01-22 16:30:00.000,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,3,Mitchel,Bakker,90,1,0,TRUE
2022-11-12 14:30:00.000,Bayer 04 Leverkusen,VfB Stuttgart,2,0,Mitchel,Bakker,90,0,0,TRUE
2022-11-09 17:30:00.000,1.FC Köln,Bayer 04 Leverkusen,1,2,Mitchel,Bakker,90,0,0,TRUE
2022-11-06 14:30:00.000,Bayer 04 Leverkusen,1.FC Union Berlin,5,0,Mitchel,Bakker,90,1,1,TRUE
2022-11-01 17:45:00.000,Bayer 04 Leverkusen,FC Brügge,0,0,Mitchel,Bakker,90,0,0,TRUE
2022-10-29 13:30:00.000,RasenBallsport Leipzig,Bayer 04 Leverkusen,2,0,Mitchel,Bakker,25,0,0,FALSE
2022-10-26 19:00:00.000,Atlético Madrid,Bayer 04 Leverkusen,2,2,Mitchel,Bakker,90,0,0,TRUE
2022-10-22 13:30:00.000,Bayer 04 Leverkusen,VfL Wolfsburg,2,2,Mitchel,Bakker,70,0,0,TRUE
2022-10-15 13:30:00.000,Eintracht Frankfurt,Bayer 04 Leverkusen,5,1,Mitchel,Bakker,80,0,0,TRUE
2022-10-08 13:30:00.000,Bayer 04 Leverkusen,FC Schalke 04,4,0,Mitchel,Bakker,90,0,0,TRUE
2022-09-30 18:30:00.000,FC Bayern München,Bayer 04 Leverkusen,4,0,Mitchel,Bakker,45,0,0,TRUE
2022-09-23 16:30:00.000,Belgien U21,Niederlande U21,1,2,Mitchel,Bakker,75,0,1,TRUE
2022-09-17 13:30:00.000,Bayer 04 Leverkusen,SV Werder Bremen,1,1,Mitchel,Bakker,6,0,0,FALSE
2022-09-13 19:00:00.000,Bayer 04 Leverkusen,Atlético Madrid,2,0,Mitchel,Bakker,1,0,0,FALSE
2022-09-10 13:30:00.000,Hertha BSC,Bayer 04 Leverkusen,2,2,Mitchel,Bakker,0,0,0,FALSE
2022-08-27 13:30:00.000,1.FSV Mainz 05,Bayer 04 Leverkusen,0,3,Mitchel,Bakker,90,0,0,TRUE
2022-08-20 13:30:00.000,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,0,3,Mitchel,Bakker,14,0,0,FALSE
2022-08-13 13:30:00.000,Bayer 04 Leverkusen,FC Augsburg,1,2,Mitchel,Bakker,63,0,0,TRUE
2022-08-06 16:30:00.000,Borussia Dortmund,Bayer 04 Leverkusen,1,0,Mitchel,Bakker,11,0,0,FALSE
2022-07-30 13:31:00.000,SV 07 Elversberg,Bayer 04 Leverkusen,4,3,Mitchel,Bakker,90,0,0,TRUE
2022-06-11 16:00:00.000,Wales U21,Niederlande U21,0,1,Mitchel,Bakker,90,0,0,TRUE
2022-06-07 18:00:00.000,Niederlande U21,Gibraltar U21,6,0,Mitchel,Bakker,28,0,1,FALSE
2022-06-03 16:45:00.000,Moldawien U21,Niederlande U21,0,3,Mitchel,Bakker,90,0,0,TRUE
2022-05-14 13:30:00.000,Bayer 04 Leverkusen,SC Freiburg,2,1,Mitchel,Bakker,23,0,1,FALSE
2022-05-07 13:30:00.000,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,2,4,Mitchel,Bakker,45,0,0,FALSE
2022-05-02 18:30:00.000,Bayer 04 Leverkusen,Eintracht Frankfurt,2,0,Mitchel,Bakker,8,0,0,FALSE
2022-04-23 13:30:00.000,SpVgg Greuther Fürth,Bayer 04 Leverkusen,1,4,Mitchel,Bakker,90,0,0,TRUE
2022-04-17 17:30:00.000,Bayer 04 Leverkusen,RasenBallsport Leipzig,0,1,Mitchel,Bakker,90,0,0,TRUE
2022-04-10 13:30:00.000,VfL Bochum,Bayer 04 Leverkusen,0,0,Mitchel,Bakker,60,0,0,FALSE
2022-04-02 13:30:00.000,Bayer 04 Leverkusen,Hertha BSC,2,1,Mitchel,Bakker,73,0,0,TRUE
2022-03-29 16:45:00.000,Niederlande U21,Schweiz U21,2,0,Mitchel,Bakker,90,0,0,TRUE
2022-03-25 17:45:00.000,Bulgarien U21,Niederlande U21,0,0,Mitchel,Bakker,90,0,0,TRUE
2022-03-20 16:30:00.000,VfL Wolfsburg,Bayer 04 Leverkusen,0,2,Mitchel,Bakker,65,0,0,TRUE
2022-03-17 17:45:00.000,Bayer 04 Leverkusen,Atalanta Bergamo,0,1,Mitchel,Bakker,90,0,0,TRUE
2022-03-13 14:30:00.000,Bayer 04 Leverkusen,1.FC Köln,0,1,Mitchel,Bakker,0,0,0,FALSE
2022-03-10 20:00:00.000,Atalanta Bergamo,Bayer 04 Leverkusen,3,2,Mitchel,Bakker,90,0,0,TRUE
2022-03-05 14:30:00.000,FC Bayern München,Bayer 04 Leverkusen,1,1,Mitchel,Bakker,82,0,0,TRUE
2022-02-26 14:30:00.000,Bayer 04 Leverkusen,Arminia Bielefeld,3,0,Mitchel,Bakker,82,0,0,TRUE
2022-02-12 17:30:00.000,Bayer 04 Leverkusen,VfB Stuttgart,4,2,Mitchel,Bakker,90,0,0,TRUE
2022-02-06 14:30:00.000,Borussia Dortmund,Bayer 04 Leverkusen,2,5,Mitchel,Bakker,90,0,0,TRUE
2022-01-22 14:30:00.000,Bayer 04 Leverkusen,FC Augsburg,5,1,Mitchel,Bakker,90,0,1,TRUE
2022-01-15 17:30:00.000,Borussia Mönchengladbach,Bayer 04 Leverkusen,1,2,Mitchel,Bakker,90,0,0,TRUE
2022-01-08 14:30:00.000,Bayer 04 Leverkusen,1.FC Union Berlin,2,2,Mitchel,Bakker,90,0,0,TRUE
2023-05-14 13:30:00.000,VfB Stuttgart,Bayer 04 Leverkusen,1,1,Moussa,Diaby,90,0,0,TRUE
2023-05-11 19:00:00.000,AS Rom,Bayer 04 Leverkusen,1,0,Moussa,Diaby,72,0,0,TRUE
2023-05-05 18:30:00.000,Bayer 04 Leverkusen,1.FC Köln,1,2,Moussa,Diaby,90,0,1,TRUE
2023-04-29 13:30:00.000,1.FC Union Berlin,Bayer 04 Leverkusen,0,0,Moussa,Diaby,62,0,0,TRUE
2023-04-23 15:30:00.000,Bayer 04 Leverkusen,RasenBallsport Leipzig,2,0,Moussa,Diaby,68,0,1,TRUE
2023-04-20 19:00:00.000,Royale Union Saint Gilloise,Bayer 04 Leverkusen,1,4,Moussa,Diaby,86,1,0,TRUE
2023-04-16 17:30:00.000,VfL Wolfsburg,Bayer 04 Leverkusen,0,0,Moussa,Diaby,90,0,0,TRUE
2023-04-13 19:00:00.000,Bayer 04 Leverkusen,Royale Union Saint Gilloise,1,1,Moussa,Diaby,87,0,0,TRUE
2023-04-08 13:30:00.000,Bayer 04 Leverkusen,Eintracht Frankfurt,3,1,Moussa,Diaby,90,1,0,TRUE
2023-04-01 13:30:00.000,FC Schalke 04,Bayer 04 Leverkusen,0,3,Moussa,Diaby,90,0,2,TRUE
2023-03-27 18:45:00.000,Irland,Frankreich,0,1,Moussa,Diaby,25,0,0,FALSE
2023-03-24 19:45:00.000,Frankreich,Niederlande,4,0,Moussa,Diaby,23,0,0,FALSE
2023-03-19 16:30:00.000,Bayer 04 Leverkusen,FC Bayern München,2,1,Moussa,Diaby,90,0,0,TRUE
2023-03-16 20:00:00.000,Ferencváros Budapest,Bayer 04 Leverkusen,0,2,Moussa,Diaby,90,1,1,TRUE
2023-03-12 16:30:00.000,SV Werder Bremen,Bayer 04 Leverkusen,2,3,Moussa,Diaby,74,0,0,TRUE
2023-03-09 17:45:00.000,Bayer 04 Leverkusen,Ferencváros Budapest,2,0,Moussa,Diaby,71,0,0,TRUE
2023-03-05 14:30:00.000,Bayer 04 Leverkusen,Hertha BSC,4,1,Moussa,Diaby,69,1,1,TRUE
2023-02-26 14:30:00.000,SC Freiburg,Bayer 04 Leverkusen,1,1,Moussa,Diaby,66,0,0,TRUE
2023-02-23 17:45:00.000,AS Monaco,Bayer 04 Leverkusen,5,8,Moussa,Diaby,17,0,0,FALSE
2023-02-16 20:00:00.000,Bayer 04 Leverkusen,AS Monaco,2,3,Moussa,Diaby,56,1,0,TRUE
2023-02-11 14:30:00.000,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,1,3,Moussa,Diaby,73,1,0,TRUE
2023-02-03 19:30:00.000,FC Augsburg,Bayer 04 Leverkusen,1,0,Moussa,Diaby,90,0,0,TRUE
2023-01-29 16:30:00.000,Bayer 04 Leverkusen,Borussia Dortmund,0,2,Moussa,Diaby,90,0,0,TRUE
2023-01-25 19:30:00.000,Bayer 04 Leverkusen,VfL Bochum,2,0,Moussa,Diaby,79,0,1,TRUE
2023-01-22 16:30:00.000,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,3,Moussa,Diaby,74,0,0,TRUE
2022-11-12 14:30:00.000,Bayer 04 Leverkusen,VfB Stuttgart,2,0,Moussa,Diaby,87,1,0,TRUE
2022-11-09 17:30:00.000,1.FC Köln,Bayer 04 Leverkusen,1,2,Moussa,Diaby,90,1,0,TRUE
2022-11-06 14:30:00.000,Bayer 04 Leverkusen,1.FC Union Berlin,5,0,Moussa,Diaby,69,2,0,TRUE
2022-11-01 17:45:00.000,Bayer 04 Leverkusen,FC Brügge,0,0,Moussa,Diaby,76,0,0,TRUE
2022-10-29 13:30:00.000,RasenBallsport Leipzig,Bayer 04 Leverkusen,2,0,Moussa,Diaby,90,0,0,TRUE
2022-10-26 19:00:00.000,Atlético Madrid,Bayer 04 Leverkusen,2,2,Moussa,Diaby,77,1,0,TRUE
2022-10-22 13:30:00.000,Bayer 04 Leverkusen,VfL Wolfsburg,2,2,Moussa,Diaby,90,1,0,TRUE
2022-10-15 13:30:00.000,Eintracht Frankfurt,Bayer 04 Leverkusen,5,1,Moussa,Diaby,73,0,0,TRUE
2022-10-08 13:30:00.000,Bayer 04 Leverkusen,FC Schalke 04,4,0,Moussa,Diaby,64,1,2,TRUE
2022-09-30 18:30:00.000,FC Bayern München,Bayer 04 Leverkusen,4,0,Moussa,Diaby,74,0,0,TRUE
2022-09-17 13:30:00.000,Bayer 04 Leverkusen,SV Werder Bremen,1,1,Moussa,Diaby,90,0,0,TRUE
2022-09-13 19:00:00.000,Bayer 04 Leverkusen,Atlético Madrid,2,0,Moussa,Diaby,89,1,0,TRUE
2022-09-10 13:30:00.000,Hertha BSC,Bayer 04 Leverkusen,2,2,Moussa,Diaby,90,0,0,TRUE
2022-09-03 13:30:00.000,Bayer 04 Leverkusen,SC Freiburg,2,3,Moussa,Diaby,90,0,0,TRUE
2022-08-27 13:30:00.000,1.FSV Mainz 05,Bayer 04 Leverkusen,0,3,Moussa,Diaby,81,0,1,TRUE
2022-08-20 13:30:00.000,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,0,3,Moussa,Diaby,90,0,0,TRUE
2022-08-13 13:30:00.000,Bayer 04 Leverkusen,FC Augsburg,1,2,Moussa,Diaby,90,0,0,TRUE
2022-08-06 16:30:00.000,Borussia Dortmund,Bayer 04 Leverkusen,1,0,Moussa,Diaby,90,0,0,TRUE
2022-07-30 13:31:00.000,SV 07 Elversberg,Bayer 04 Leverkusen,4,3,Moussa,Diaby,90,0,1,TRUE
2022-06-13 18:45:00.000,Frankreich,Kroatien,0,1,Moussa,Diaby,0,0,0,FALSE
