data,player,language,publishedAt,short,sentiment
"adeyemi firmo el que es su primer gol en lo que va de bundesliga  con wirtz dejando su lesion definitivamente en el olvido y palacios y amiri creando juego en la medular, el bayerleverkusen llevo la iniciativa en el juego desde el inicio, haciendo latente lo bien trabajando que tiene el equipo el bueno de alonso, pero ni los mencionados ni sus companeros de equipo fueron capaces de superar a un kobel que supo mantener la porteria del dortmund a cero",palacios,es,2023-01-29T18:25:03Z,"adeyemi firmo el que es su primer gol en lo que va de bundesliga  con wirtz dejando su lesion definitivamente en el olvido y palacios y amiri creando juego en la medular, el bayerleverkusen llevo la iniciativa en el juego desde el inicio, haciendo latente lo bien trabajando que tiene el equipo el bueno de alonso, pero ni los mencionados ni sus companeros de equipo fueron capaces de superar a un kobel que supo mantener la porteria del dortmund a cero",2
"el club aleman, que siempre se ha caracterizado por confiar en gente joven con sangre nueva y, por supuesto, en mediocampistas sudamericanos con sacrificio, fisico y bien dotados tecnicamente, como lo son el chileno charles aranguiz que actualmente se encuentra lesionado y su regreso se espera para mitad de febrero, y el argentino de anos palacios",palacios,es,2023-01-31T20:41:38Z,"el club aleman, que siempre se ha caracterizado por confiar en gente joven con sangre nueva y, por supuesto, en mediocampistas sudamericanos con sacrificio, fisico y bien dotados tecnicamente, como lo son el chileno charles aranguiz que actualmente se encuentra lesionado y su regreso se espera para mitad de febrero, y el argentino de anos palacios",3
"alberto fernandez  el presidente de la afa, claudio \'chiqui\' tapia; el integrante del cuerpo tecnico (y mano derecha del dt lionel scaloni), pablo aimar; y los volantes leandro paredes y palacios, por caso, posaron con los obsequios que les realizo el propio titular de sigschool, quien tambien viajo hasta paris en la previa del mundial para entregarle en mano a lionel messi varios articulos de su produccion y, asi, cumplir uno de sus suenos",palacios,es,2023-02-09T18:32:38Z,"alberto fernandez  el presidente de la afa, claudio \'chiqui\' tapia; el integrante del cuerpo tecnico (y mano derecha del dt lionel scaloni), pablo aimar; y los volantes leandro paredes y palacios, por caso, posaron con los obsequios que les realizo el propio titular de sigschool, quien tambien viajo hasta paris en la previa del mundial para entregarle en mano a lionel messi varios articulos de su produccion y, asi, cumplir uno de sus suenos",4
"alberto fernandez  tambien participaron los otros campeones de la fiesta de reinauguracion del monumental: en la pantalla gigante aparecieron gonzalo montiel, guido rodriguez, german pezzella, julian alvarez (el mas ovacionado) y enzo fernandez; solo falto el saludo de palacios",palacios,es,2023-02-12T21:13:55Z,"alberto fernandez  tambien participaron los otros campeones de la fiesta de reinauguracion del monumental: en la pantalla gigante aparecieron gonzalo montiel, guido rodriguez, german pezzella, julian alvarez (el mas ovacionado) y enzo fernandez; solo falto el saludo de palacios",4
"fue el momento en que desde las tribunas se desplegaron banderas con las imagenes de lionel messi, julian alvarez, gonzalo montiel, enzo fernandez, german pezzella, palacios, guido rodriguez y armani, todos con la copa del mundo",palacios,es,2023-02-13T01:05:15Z,"fue el momento en que desde las tribunas se desplegaron banderas con las imagenes de lionel messi, julian alvarez, gonzalo montiel, enzo fernandez, german pezzella, palacios, guido rodriguez y armani, todos con la copa del mundo",1
"por ultimo, palacios tambien tendra su momento con bayerleverkusen, que busca un triunfo frente a mainz",palacios,es,2023-02-19T01:15:14Z,"por ultimo, palacios tambien tendra su momento con bayerleverkusen, que busca un triunfo frente a mainz",4
"wirtz, a la derecha, celebra su gol, el primero del bayerleverkusen leverlusen en la vuelta ante el monaco  el bayerleverkusen queria estar en octavos y palacios volvio a poner por delante al conjunto de alonso en el ' con un disparo con la izquierda",palacios,es,2023-02-23T20:37:20Z,"wirtz, a la derecha, celebra su gol, el primero del bayerleverkusen leverlusen en la vuelta ante el monaco  el bayerleverkusen queria estar en octavos y palacios volvio a poner por delante al conjunto de alonso en el ' con un disparo con la izquierda",1
" los goles del bayerleverkusen los anotaron wirtz, palacios y adli",palacios,es,2023-02-23T20:55:47Z,"los goles del bayerleverkusen los anotaron wirtz, palacios y adli",5
" en tanto, palacios volvio al gol luego de seis meses, para marcar el - parcial para bayerleverkusen en la visita a monaco y mantener la posibilidad de la clasificacion",palacios,es,2023-02-23T23:30:42Z,"en tanto, palacios volvio al gol luego de seis meses, para marcar el - parcial para bayerleverkusen en la visita a monaco y mantener la posibilidad de la clasificacion",3
" en cuanto a los clubes con futbolistas argentinos que disputaran la ronda de los mejores de la europaleague aparecen el bayerleverkusen de palacios; el sevilla del dt jorge sampaoli, con alejandro 'papu' gomez, marcos acuna, gonzalo montiel y erik lamela entre sus filas, que chocara ante fenerbahce de turquia; y la roma de paulo dybala, que se vera las caras con real sociedad en uno de los cruces mas atractivos",palacios,es,2023-02-24T18:10:55Z,"en cuanto a los clubes con futbolistas argentinos que disputaran la ronda de los mejores de la europaleague aparecen el bayerleverkusen de palacios; el sevilla del dt jorge sampaoli, con alejandro 'papu' gomez, marcos acuna, gonzalo montiel y erik lamela entre sus filas, que chocara ante fenerbahce de turquia; y la roma de paulo dybala, que se vera las caras con real sociedad en uno de los cruces mas atractivos",4
