data,player,language,publishedAt,Label,sentiment,sentiment_label
trainer alonso vor den mitgereisten fans in monaco glucksmoment palacios hebt nach seinem tor zum ab nach dem euro highlight geht es in der bundesliga am sonntag ,palacios,de,2023-02-24T09:33:31Z,,1,negativ
zudem ist die konkurrenzsituation auf der doppelsechs gegen die seit woche voll im saft stehenden palacios amiri demirbay und andrich unter diesen voraussetzungen eine extrem schwierige fur aranguiz,palacios,de,2023-03-03T21:35:13Z,,2,neutral
wie auch palacios sah der defensive mittelfeldspieler beim erfolg im elfmeterschiessen bei der as monaco seine dritte gelbe karte und ist gesperrt,palacios,de,2023-03-07T11:34:39Z,,1,negativ
 er ist eine option erklart alonso der im mittelfeld auf seine doppel sechs verzichten muss andrich und palacios sind gesperrt fur sie stehen demirbay und amiri bereit,palacios,de,2023-03-08T14:25:18Z,,3,neutral
 allerdings waren in andrich und dem argentinischen weltmeister palacios beide eigentlich gesetzten sechser gesperrt charles aranguiz ist zudem verletzt,palacios,de,2023-03-09T19:53:46Z,,2,neutral
 im grossen und ganzen haben wir ein sehr sehr gutes spiel gemacht sehr erwachsen sehr konzentriert und bis zum ende durchgezogen lobte amiri der mit demirbay im mittelfeldzentrum anstelle der gelbgesperrten andrich und palacios fur die gewisse stabilitat und balance gesorgt hatte,palacios,de,2023-03-09T22:03:00Z,,5,positiv
so stehen die stamm sechser andrich und palacios die am donnerstag noch gesperrt waren frisch fur einen einsatz von beginn an zur verfugung,palacios,de,2023-03-10T17:47:41Z,,4,neutral
torschutzen unter sich diaby und adli r feiern adlis treffer zum fur bayerleverkusen palacios der argentinische weltmeister von katar mit seinem nachsten starken spiel,palacios,de,2023-03-17T07:01:04Z,,5,positiv
der argentinische weltmeister palacios drehte das spiel mit zwei verwandelten foulelfmetern ,palacios,de,2023-03-19T18:22:00Z,,1,negativ
 bayerleverkusen drehte das spiel durch palacios der in der ,palacios,de,2023-03-19T18:28:09Z,,1,negativ
 doch der argentinier palacios einziger aktueller weltmeister in der bundesliga drehte das spiel mit zwei foulelfmetern ,palacios,de,2023-03-19T18:28:23Z,,1,negativ
doch der argentinier palacios einziger aktueller weltmeister in der bundesliga drehte das spiel mit zwei foulelfmetern ,palacios,de,2023-03-19T18:35:00Z,,1,negativ
und zweimal griff der videoassistent korrigierend ein es gab jeweils elfmeter die ezequiel palacios verwandelte und die diesen erstaunlichen sieg moglich machten durch den borussia dortmund erstmals seit wieder am ende eines spieltages an der tabellenspitze steht,palacios,de,2023-03-19T18:39:29Z,,1,negativ
am ende gab es jeweils elfmeter fur die werkself die palacios beide sicher zum endstand verwandelte,palacios,de,2023-03-19T20:00:00Z,,3,neutral
zweimal verwandelte palacios es wurde ein uberraschender sieg,palacios,de,2023-03-19T20:01:45Z,positiv,4,neutral
die hauptbeteiligten bayerleverkusen offensivmann adli schiedsrichter tobias stieler der video assistant referee var xaund palacios,palacios,de,2023-03-19T20:12:00Z,,1,negativ
im gegenteil nach wiederbeginn war bayerleverkusen aktiver als die gaste aus munchen und drehte durch zwei von palacios verwandelte var elfmeter die partie,palacios,de,2023-03-19T22:08:00Z,,1,negativ
der xaargentinische weltmeister palacios lasst sich das nicht nehmen und trifft,palacios,de,2023-03-20T05:11:00Z,,3,neutral
stieler nahm folgerichtig in beiden fallen die gelbe karte zuruck bat adli per handschlag um entschuldigung und sprach den leverkusenern einen strafstoss zu den palacios sicher verwandelte,palacios,de,2023-03-20T05:39:04Z,,1,negativ
beide male nahm er diese zuruck und entschuldigte sich und gab elfmeter durch die palacios bayerleverkusen sieg sicherte,palacios,de,2023-03-20T05:55:43Z,,1,negativ
beide male nahm er diese zuruck bat um entschuldigung und gab elfmeter durch die palacios bayerleverkusen sieg sicherte,palacios,de,2023-03-20T07:48:37Z,,1,negativ
dazn experte michael ballack l im gesprach mit julian nagelsmann und moderatorin laura wontorra trainer alonso mit seinem weltmeister palacios r da sieht man dass die jungs fit sind dass sie marschieren und alle drei tage spielen konnen das spricht fur die trainings belastung und trainings steuerung,palacios,de,2023-03-20T13:16:11Z,,4,neutral
palacios trifft zum fur bayerleverkusen gegen die bayern der einzige aktuelle weltmeister der bundesliga hatte es verdammt eilig,palacios,de,2023-03-20T13:56:19Z,,4,neutral
schalke reis nimmt den spieler ausdrucklich in schutz die rollenverteilung war klar tom krauss hatte die pflicht als alleiniger sechser wirtz zu beschatten wahrend sich alex kral um andrich und drexler um palacios kummern sollten,palacios,de,2023-04-03T08:12:20Z,neutral,4,neutral
funf scorerpunkte im marz folgerichtig hat sich guerreiro bei der wahl zum spieler des monats potm marz der bundesliga gegen frimpong palacios beide bayerleverkusen omar marmoush vfl wolfsburg marius bulter fc schalke und erhan masovic vfl bochum durchgesetzt,palacios,de,2023-04-07T13:44:53Z,,1,negativ
auch torschutze adli und sturmer palacios zeigten inspiriert vom wirtz wirbel ihr xakonnen,palacios,de,2023-04-08T19:43:08Z,,5,positiv
und palacios einziger aktueller weltmeister der liga schwarmte fast ehrfurchtig von alonso lerne ich jeden tag umgekehrt fuhlt sich auch der baske nach rund einem halben jahr im rheinland sehr wohl und zufrieden ,palacios,de,2023-04-13T12:41:39Z,,5,positiv
hincapie l und tah bedanken sich fur die fan unterstutzung palacios der argentinier spielte gewohnt bissig ohne jedoch akzente nach vorne setzen zu konnen,palacios,de,2023-04-14T08:16:22Z,,3,neutral
palacios musste gegen saint gilloise angeschlagen in der kabine bleiben auf den ersten blick verwunderte dieser wechsel beim von bayerleverkusen im viertelfinal hinspiel der europaleague gegen royale union saint gillioise blieb palacios nach der pause in der kabine,palacios,de,2023-04-14T08:19:57Z,,2,neutral
bayerleverkusen bangt nach gegen saint gilles um weltmeister palacios dank des spaten von wirtz wird im ruckspiel bei union saint gilloise das duell von bayerleverkusen mit den belgiern am donnerstag wieder bei null beginnen,palacios,de,2023-04-14T11:21:14Z,,1,negativ
bayerleverkusen trainer steht vor der wolfsburg partie vor einem spagat bei palacios durfte der trainer keinerlei risiko eingehen,palacios,de,2023-04-14T14:38:38Z,,1,negativ
